SSC_NAME16	FamilyComposition	families_with_children
Kooralbyn	Intact family with no other children present	125
Kooralbyn	Step family with no other children present	9
Kooralgin	Intact family with no other children present	6
Kooroongarra	Step family with no other children present	3
Koumala	Blended family with no other children present	8
Koumala	Intact family with no other children present	88
Koumala	Step family with no other children present	3
Kowanyama	Blended family with no other children present	4
Kowanyama	Intact family with no other children present	49
Kowanyama	Intact family with other children present	11
Kowanyama	Other couple family with other children only	5
Kowanyama	Step family with no other children present	8
Kowguran	Intact family with no other children present	3
Kragra	Intact family with no other children present	4
Kulangoor	Blended family with no other children present	3
Kulangoor	Intact family with no other children present	35
Kulangoor	Step family with no other children present	3
Kulgun	Intact family with no other children present	7
Kulgun	Step family with no other children present	3
Kullogum	Intact family with no other children present	9
Kulpi	Intact family with no other children present	6
Kuluin	Blended family with no other children present	19
Kuluin	Intact family with no other children present	237
Kuluin	Intact family with other children present	5
Kuluin	Step family with no other children present	26
Kumbarilla	Intact family with no other children present	8
Kumbarilla	Step family with no other children present	3
Kumbia	Blended family with no other children present	3
Kumbia	Intact family with no other children present	19
Kumbia	Step family with no other children present	3
Kunioon	Intact family with no other children present	3
