SSC_NAME16	NonSchoolQualification	persons
Jingili	Certificate I and II Level	17
Jingili	Certificate III and IV Level	193
Jingili	Advanced Diploma and Diploma	102
Jingili	Bachelor	235
Jingili	Graduate Diploma and Graduate Certificate	49
Jingili	Postgraduate	75
Johnston	Certificate nfd	34
Johnston	Certificate I and II Level	40
Johnston	Certificate III and IV Level	346
Johnston	Advanced Diploma and Diploma	125
Johnston	Bachelor	182
Johnston	Graduate Diploma and Graduate Certificate	23
Johnston	Postgraduate	47
Kakadu	Certificate III and IV Level	36
Kakadu	Advanced Diploma and Diploma	20
Kakadu	Bachelor	7
Kakadu	Postgraduate	8
Kalkarindji	Certificate I and II Level	6
Kalkarindji	Certificate III and IV Level	13
Kalkarindji	Advanced Diploma and Diploma	4
Kalkarindji	Bachelor	10
Kalkarindji	Graduate Diploma and Graduate Certificate	6
Kalkarindji	Postgraduate	4
Kaltukatjara	Certificate nfd	3
Kaltukatjara	Certificate I and II Level	9
Kaltukatjara	Certificate III and IV Level	24
Kaltukatjara	Advanced Diploma and Diploma	3
Kaltukatjara	Bachelor	11
Kaltukatjara	Postgraduate	8
Karama	Certificate nfd	69
Karama	Certificate I and II Level	49
Karama	Certificate III and IV Level	621
Karama	Advanced Diploma and Diploma	252
Karama	Bachelor	396
Karama	Graduate Diploma and Graduate Certificate	59
Karama	Postgraduate	99
Katherine	Certificate nfd	13
Katherine	Certificate I and II Level	23
Katherine	Certificate III and IV Level	197
Katherine	Advanced Diploma and Diploma	111
Katherine	Bachelor	132
Katherine	Graduate Diploma and Graduate Certificate	36
Katherine	Postgraduate	27
Katherine East	Certificate nfd	34
Katherine East	Certificate I and II Level	43
Katherine East	Certificate III and IV Level	375
Katherine East	Advanced Diploma and Diploma	207
Katherine East	Bachelor	253
Katherine East	Graduate Diploma and Graduate Certificate	34
Katherine East	Postgraduate	57
Katherine South	Certificate nfd	21
Katherine South	Certificate I and II Level	30
Katherine South	Certificate III and IV Level	164
Katherine South	Advanced Diploma and Diploma	69
Katherine South	Bachelor	112
Katherine South	Graduate Diploma and Graduate Certificate	18
Katherine South	Postgraduate	20
Kilgariff	Certificate nfd	9
Kilgariff	Certificate I and II Level	5
Kilgariff	Certificate III and IV Level	29
Kilgariff	Advanced Diploma and Diploma	6
Kilgariff	Bachelor	18
Kilgariff	Graduate Diploma and Graduate Certificate	4
Kilgariff	Postgraduate	7
Kintore	Certificate nfd	3
Kintore	Certificate III and IV Level	6
Kintore	Advanced Diploma and Diploma	8
Kintore	Bachelor	10
Kintore	Graduate Diploma and Graduate Certificate	3
Knuckey Lagoon	Certificate nfd	6
Knuckey Lagoon	Certificate III and IV Level	75
Knuckey Lagoon	Advanced Diploma and Diploma	20
Knuckey Lagoon	Bachelor	36
Knuckey Lagoon	Graduate Diploma and Graduate Certificate	4
Knuckey Lagoon	Postgraduate	11
Kunparrka	Certificate III and IV Level	9
Kunparrka	Advanced Diploma and Diploma	3
Lajamanu	Certificate nfd	16
Lajamanu	Certificate I and II Level	8
Lajamanu	Certificate III and IV Level	39
Lajamanu	Advanced Diploma and Diploma	8
Lajamanu	Bachelor	16
Lajamanu	Postgraduate	3
Lake Bennett	Certificate nfd	11
Lake Bennett	Certificate III and IV Level	11
Lake Bennett	Advanced Diploma and Diploma	8
Lake Bennett	Bachelor	3
Lake Bennett	Postgraduate	3
Lambells Lagoon	Certificate nfd	4
Lambells Lagoon	Certificate I and II Level	3
Lambells Lagoon	Certificate III and IV Level	43
Lambells Lagoon	Advanced Diploma and Diploma	17
Lambells Lagoon	Bachelor	18
Lambells Lagoon	Graduate Diploma and Graduate Certificate	3
Lansdowne (NT)	Certificate nfd	7
Lansdowne (NT)	Certificate I and II Level	5
Lansdowne (NT)	Certificate III and IV Level	56
Lansdowne (NT)	Advanced Diploma and Diploma	23
Lansdowne (NT)	Bachelor	37
Lansdowne (NT)	Graduate Diploma and Graduate Certificate	5
Lansdowne (NT)	Postgraduate	5
Laramba	Certificate I and II Level	4
Laramba	Certificate III and IV Level	8
Laramba	Advanced Diploma and Diploma	3
Laramba	Bachelor	6
Larapinta (NT)	Certificate nfd	29
Larapinta (NT)	Certificate I and II Level	31
Larapinta (NT)	Certificate III and IV Level	335
Larapinta (NT)	Advanced Diploma and Diploma	132
Larapinta (NT)	Bachelor	201
Larapinta (NT)	Graduate Diploma and Graduate Certificate	44
Larapinta (NT)	Postgraduate	57
Larrakeyah	Certificate nfd	59
Larrakeyah	Certificate I and II Level	26
Larrakeyah	Certificate III and IV Level	446
Larrakeyah	Advanced Diploma and Diploma	294
Larrakeyah	Bachelor	699
Larrakeyah	Graduate Diploma and Graduate Certificate	101
Larrakeyah	Postgraduate	216
Larrimah	Certificate III and IV Level	3
Larrimah	Advanced Diploma and Diploma	7
Leanyer	Certificate nfd	62
Leanyer	Certificate I and II Level	43
Leanyer	Certificate III and IV Level	660
Leanyer	Advanced Diploma and Diploma	360
Leanyer	Bachelor	556
Leanyer	Graduate Diploma and Graduate Certificate	94
Leanyer	Postgraduate	136
Lee Point	Certificate nfd	3
Lee Point	Certificate III and IV Level	20
Lee Point	Advanced Diploma and Diploma	3
Lee Point	Bachelor	3
Limmen	Certificate III and IV Level	3
Litchfield Park	Certificate III and IV Level	4
Litchfield Park	Bachelor	6
Livingstone	Certificate nfd	3
Livingstone	Certificate I and II Level	6
Livingstone	Certificate III and IV Level	88
Livingstone	Advanced Diploma and Diploma	19
Livingstone	Bachelor	19
Livingstone	Graduate Diploma and Graduate Certificate	3
Livingstone	Postgraduate	5
Lloyd Creek	Certificate nfd	3
Lloyd Creek	Certificate I and II Level	4
Lloyd Creek	Certificate III and IV Level	44
Lloyd Creek	Advanced Diploma and Diploma	16
Lloyd Creek	Bachelor	4
Lloyd Creek	Graduate Diploma and Graduate Certificate	3
Lloyd Creek	Postgraduate	3
Ludmilla	Certificate nfd	32
Ludmilla	Certificate I and II Level	21
Ludmilla	Certificate III and IV Level	195
Ludmilla	Advanced Diploma and Diploma	86
Ludmilla	Bachelor	207
Ludmilla	Graduate Diploma and Graduate Certificate	32
Ludmilla	Postgraduate	62
Lyons (NT)	Certificate nfd	32
Lyons (NT)	Certificate I and II Level	14
Lyons (NT)	Certificate III and IV Level	265
Lyons (NT)	Advanced Diploma and Diploma	190
Lyons (NT)	Bachelor	291
Lyons (NT)	Graduate Diploma and Graduate Certificate	46
Lyons (NT)	Postgraduate	99
Malak	Certificate nfd	43
Malak	Certificate I and II Level	40
Malak	Certificate III and IV Level	411
Malak	Advanced Diploma and Diploma	176
Malak	Bachelor	275
Malak	Graduate Diploma and Graduate Certificate	51
Malak	Postgraduate	72
Maningrida	Certificate nfd	65
Maningrida	Certificate I and II Level	28
Maningrida	Certificate III and IV Level	94
Maningrida	Advanced Diploma and Diploma	27
Maningrida	Bachelor	52
Maningrida	Graduate Diploma and Graduate Certificate	9
Maningrida	Postgraduate	17
Manton (NT)	Certificate nfd	4
Manton (NT)	Certificate I and II Level	4
Manton (NT)	Certificate III and IV Level	3
Manton (NT)	Bachelor	4
Marlow Lagoon	Certificate nfd	12
Marlow Lagoon	Certificate I and II Level	3
Marlow Lagoon	Certificate III and IV Level	151
Marlow Lagoon	Advanced Diploma and Diploma	56
Marlow Lagoon	Bachelor	55
Marlow Lagoon	Graduate Diploma and Graduate Certificate	14
Marlow Lagoon	Postgraduate	5
Marrakai	Certificate nfd	9
Marrakai	Certificate I and II Level	7
Marrakai	Certificate III and IV Level	55
Marrakai	Advanced Diploma and Diploma	12
Marrakai	Bachelor	15
Marrakai	Graduate Diploma and Graduate Certificate	7
Marrakai	Postgraduate	3
Marrara	Certificate nfd	29
Marrara	Certificate I and II Level	17
Marrara	Certificate III and IV Level	270
Marrara	Advanced Diploma and Diploma	103
Marrara	Bachelor	165
Marrara	Graduate Diploma and Graduate Certificate	38
Marrara	Postgraduate	48
Mataranka	Certificate I and II Level	3
Mataranka	Certificate III and IV Level	39
Mataranka	Advanced Diploma and Diploma	16
Mataranka	Bachelor	19
Mataranka	Graduate Diploma and Graduate Certificate	3
Mataranka	Postgraduate	3
McArthur	Certificate nfd	7
McArthur	Certificate I and II Level	3
McArthur	Certificate III and IV Level	56
McArthur	Advanced Diploma and Diploma	6
McArthur	Bachelor	12
McArthur	Postgraduate	7
McMinns Lagoon	Certificate nfd	8
McMinns Lagoon	Certificate I and II Level	6
McMinns Lagoon	Certificate III and IV Level	139
McMinns Lagoon	Advanced Diploma and Diploma	62
McMinns Lagoon	Bachelor	59
McMinns Lagoon	Graduate Diploma and Graduate Certificate	7
McMinns Lagoon	Postgraduate	14
Middle Point	Certificate I and II Level	3
Middle Point	Certificate III and IV Level	6
Middle Point	Advanced Diploma and Diploma	6
Middle Point	Bachelor	9
Middle Point	Postgraduate	3
Milikapiti	Certificate nfd	5
Milikapiti	Certificate I and II Level	3
Milikapiti	Certificate III and IV Level	25
Milikapiti	Advanced Diploma and Diploma	3
Milikapiti	Bachelor	6
Milingimbi	Certificate nfd	4
Milingimbi	Certificate I and II Level	45
Milingimbi	Certificate III and IV Level	37
Milingimbi	Advanced Diploma and Diploma	5
Milingimbi	Bachelor	20
Milingimbi	Graduate Diploma and Graduate Certificate	7
Milingimbi	Postgraduate	8
Millner	Certificate nfd	35
Millner	Certificate I and II Level	38
Millner	Certificate III and IV Level	331
Millner	Advanced Diploma and Diploma	158
Millner	Bachelor	322
Millner	Graduate Diploma and Graduate Certificate	59
Millner	Postgraduate	105
Miniyeri	Certificate nfd	7
Miniyeri	Certificate I and II Level	4
Miniyeri	Certificate III and IV Level	17
Miniyeri	Bachelor	14
Miniyeri	Graduate Diploma and Graduate Certificate	3
Miniyeri	Postgraduate	3
Minjilang	Certificate nfd	3
Minjilang	Certificate I and II Level	3
Minjilang	Certificate III and IV Level	4
Minjilang	Advanced Diploma and Diploma	3
Minjilang	Bachelor	8
Moil	Certificate nfd	36
Moil	Certificate I and II Level	13
Moil	Certificate III and IV Level	269
Moil	Advanced Diploma and Diploma	116
Moil	Bachelor	214
Moil	Graduate Diploma and Graduate Certificate	38
Moil	Postgraduate	71
Moulden	Certificate nfd	36
Moulden	Certificate I and II Level	53
Moulden	Certificate III and IV Level	444
Moulden	Advanced Diploma and Diploma	127
Moulden	Bachelor	115
Moulden	Graduate Diploma and Graduate Certificate	25
Moulden	Postgraduate	7
Mount Bundey	Certificate nfd	3
Mount Bundey	Certificate III and IV Level	3
Mount Bundey	Advanced Diploma and Diploma	3
Mount Bundey	Bachelor	4
Mount Bundey	Postgraduate	3
Mount Johns	Certificate nfd	5
Mount Johns	Certificate I and II Level	3
Mount Johns	Certificate III and IV Level	64
Mount Johns	Advanced Diploma and Diploma	50
Mount Johns	Bachelor	73
Mount Johns	Graduate Diploma and Graduate Certificate	8
Mount Johns	Postgraduate	26
Mount Liebig	Certificate I and II Level	4
Mount Liebig	Certificate III and IV Level	3
Mount Liebig	Advanced Diploma and Diploma	3
Mount Zeil	Certificate III and IV Level	4
Mount Zeil	Advanced Diploma and Diploma	4
Mount Zeil	Bachelor	11
Mount Zeil	Postgraduate	3
Muirhead	Certificate nfd	23
Muirhead	Certificate I and II Level	12
Muirhead	Certificate III and IV Level	311
Muirhead	Advanced Diploma and Diploma	159
Muirhead	Bachelor	370
Muirhead	Graduate Diploma and Graduate Certificate	42
Muirhead	Postgraduate	132
Mutitjulu	Certificate nfd	3
Mutitjulu	Certificate I and II Level	4
Mutitjulu	Certificate III and IV Level	19
Mutitjulu	Advanced Diploma and Diploma	9
Mutitjulu	Bachelor	9
Mutitjulu	Graduate Diploma and Graduate Certificate	3
Nakara	Certificate nfd	19
Nakara	Certificate I and II Level	17
Nakara	Certificate III and IV Level	200
Nakara	Advanced Diploma and Diploma	136
Nakara	Bachelor	292
Nakara	Graduate Diploma and Graduate Certificate	44
Nakara	Postgraduate	118
Namatjira	Certificate III and IV Level	3
Namatjira	Bachelor	3
Nauiyu	Certificate I and II Level	3
Nauiyu	Certificate III and IV Level	16
Nauiyu	Advanced Diploma and Diploma	8
Nauiyu	Bachelor	15
Nemarluk	Certificate nfd	4
Nemarluk	Certificate III and IV Level	22
Newcastle Waters	Certificate I and II Level	3
Newcastle Waters	Certificate III and IV Level	10
Newcastle Waters	Advanced Diploma and Diploma	3
Nganmarriyanga	Certificate I and II Level	16
Nganmarriyanga	Bachelor	10
Ngukurr	Certificate nfd	4
Ngukurr	Certificate I and II Level	12
Ngukurr	Certificate III and IV Level	42
Ngukurr	Advanced Diploma and Diploma	16
Ngukurr	Bachelor	23
Ngukurr	Graduate Diploma and Graduate Certificate	3
Ngukurr	Postgraduate	3
Nhulunbuy	Certificate nfd	42
Nhulunbuy	Certificate I and II Level	24
Nhulunbuy	Certificate III and IV Level	490
Nhulunbuy	Advanced Diploma and Diploma	191
Nhulunbuy	Bachelor	281
Nhulunbuy	Graduate Diploma and Graduate Certificate	68
Nhulunbuy	Postgraduate	80
Nicholson (NT)	Certificate III and IV Level	14
Nicholson (NT)	Advanced Diploma and Diploma	3
Nicholson (NT)	Bachelor	3
Nightcliff	Certificate nfd	52
Nightcliff	Certificate I and II Level	28
Nightcliff	Certificate III and IV Level	442
Nightcliff	Advanced Diploma and Diploma	268
Nightcliff	Bachelor	713
Nightcliff	Graduate Diploma and Graduate Certificate	109
Nightcliff	Postgraduate	285
Nitmiluk	Certificate I and II Level	3
Nitmiluk	Certificate III and IV Level	14
Nitmiluk	Advanced Diploma and Diploma	7
Nitmiluk	Bachelor	8
Noonamah	Certificate nfd	5
Noonamah	Certificate I and II Level	3
Noonamah	Certificate III and IV Level	60
Noonamah	Advanced Diploma and Diploma	21
Noonamah	Bachelor	18
Noonamah	Graduate Diploma and Graduate Certificate	5
Noonamah	Postgraduate	5
Numbulwar	Certificate nfd	3
Numbulwar	Certificate I and II Level	9
Numbulwar	Certificate III and IV Level	11
Numbulwar	Advanced Diploma and Diploma	10
Numbulwar	Bachelor	14
Numbulwar	Graduate Diploma and Graduate Certificate	6
Numbulwar	Postgraduate	4
Nyirripi	Certificate I and II Level	4
Nyirripi	Certificate III and IV Level	3
Nyirripi	Advanced Diploma and Diploma	3
Nyirripi	Bachelor	8
Palmerston City	Certificate III and IV Level	3
Palmerston City	Advanced Diploma and Diploma	3
Palmerston City	Bachelor	3
Pamayu	Certificate III and IV Level	9
Papunya	Certificate I and II Level	5
Papunya	Certificate III and IV Level	17
Papunya	Advanced Diploma and Diploma	7
Papunya	Bachelor	14
Papunya	Graduate Diploma and Graduate Certificate	3
Papunya	Postgraduate	3
Parap	Certificate nfd	32
Parap	Certificate I and II Level	15
Parap	Certificate III and IV Level	335
Parap	Advanced Diploma and Diploma	232
Parap	Bachelor	476
Parap	Graduate Diploma and Graduate Certificate	79
Parap	Postgraduate	176
Peppimenarti	Certificate I and II Level	3
Peppimenarti	Certificate III and IV Level	6
Peppimenarti	Advanced Diploma and Diploma	3
Peppimenarti	Bachelor	3
Petermann	Certificate nfd	7
Petermann	Certificate I and II Level	3
Petermann	Certificate III and IV Level	23
Petermann	Advanced Diploma and Diploma	13
Petermann	Bachelor	16
Pigeon Hole	Certificate nfd	3
Pigeon Hole	Certificate III and IV Level	3
Pigeon Hole	Bachelor	5
Pine Creek (NT)	Certificate nfd	3
Pine Creek (NT)	Certificate I and II Level	17
Pine Creek (NT)	Certificate III and IV Level	30
Pine Creek (NT)	Advanced Diploma and Diploma	10
Pine Creek (NT)	Bachelor	7
Pine Creek (NT)	Graduate Diploma and Graduate Certificate	4
Pine Creek (NT)	Postgraduate	3
Pinelands (NT)	Certificate nfd	3
Pinelands (NT)	Certificate III and IV Level	8
Pirlangimpi	Certificate nfd	4
Pirlangimpi	Certificate I and II Level	4
Pirlangimpi	Certificate III and IV Level	32
Pirlangimpi	Advanced Diploma and Diploma	5
Pirlangimpi	Bachelor	5
Point Stuart	Certificate III and IV Level	8
Point Stuart	Advanced Diploma and Diploma	3
Point Stuart	Bachelor	3
Rakula	Certificate I and II Level	3
Rakula	Certificate III and IV Level	18
Rakula	Advanced Diploma and Diploma	3
Rakula	Bachelor	9
Rakula	Postgraduate	4
Ramingining	Certificate nfd	5
Ramingining	Certificate I and II Level	30
Ramingining	Certificate III and IV Level	50
Ramingining	Advanced Diploma and Diploma	8
Ramingining	Bachelor	20
Ramingining	Graduate Diploma and Graduate Certificate	3
Ramingining	Postgraduate	6
Ranken	Certificate I and II Level	3
Ranken	Certificate III and IV Level	12
Ranken	Advanced Diploma and Diploma	3
Ranken	Bachelor	3
Rapid Creek	Certificate nfd	34
Rapid Creek	Certificate I and II Level	25
Rapid Creek	Certificate III and IV Level	345
Rapid Creek	Advanced Diploma and Diploma	216
Rapid Creek	Bachelor	606
Rapid Creek	Graduate Diploma and Graduate Certificate	102
Rapid Creek	Postgraduate	272
Robin Falls	Bachelor	3
Robinson River	Certificate nfd	3
Robinson River	Certificate I and II Level	5
Robinson River	Certificate III and IV Level	17
Robinson River	Advanced Diploma and Diploma	3
Robinson River	Bachelor	7
Rosebery (NT)	Certificate nfd	72
Rosebery (NT)	Certificate I and II Level	50
Rosebery (NT)	Certificate III and IV Level	799
Rosebery (NT)	Advanced Diploma and Diploma	317
Rosebery (NT)	Bachelor	358
Rosebery (NT)	Graduate Diploma and Graduate Certificate	57
Rosebery (NT)	Postgraduate	71
Ross (NT)	Certificate nfd	8
Ross (NT)	Certificate I and II Level	10
Ross (NT)	Certificate III and IV Level	130
Ross (NT)	Advanced Diploma and Diploma	55
Ross (NT)	Bachelor	57
Ross (NT)	Graduate Diploma and Graduate Certificate	10
Ross (NT)	Postgraduate	17
Rum Jungle	Certificate III and IV Level	16
Rum Jungle	Advanced Diploma and Diploma	6
Rum Jungle	Bachelor	3
Sadadeen	Certificate nfd	31
Sadadeen	Certificate I and II Level	18
Sadadeen	Certificate III and IV Level	255
Sadadeen	Advanced Diploma and Diploma	140
Sadadeen	Bachelor	197
Sadadeen	Graduate Diploma and Graduate Certificate	40
Sadadeen	Postgraduate	74
Sandover	Certificate I and II Level	3
Sandover	Certificate III and IV Level	19
Sandover	Advanced Diploma and Diploma	4
Sandover	Bachelor	13
Sandover	Graduate Diploma and Graduate Certificate	3
Sandover	Postgraduate	11
Santa Teresa	Certificate nfd	18
Santa Teresa	Certificate I and II Level	22
Santa Teresa	Certificate III and IV Level	35
Santa Teresa	Advanced Diploma and Diploma	12
Santa Teresa	Bachelor	19
Santa Teresa	Graduate Diploma and Graduate Certificate	4
Santa Teresa	Postgraduate	9
Shoal Bay (NT)	Certificate III and IV Level	7
Southport (NT)	Certificate III and IV Level	40
Southport (NT)	Advanced Diploma and Diploma	10
Southport (NT)	Bachelor	10
Southport (NT)	Graduate Diploma and Graduate Certificate	3
Stapleton	Certificate III and IV Level	4
Stapleton	Advanced Diploma and Diploma	3
Stuart (NT)	Certificate nfd	6
Stuart (NT)	Certificate I and II Level	8
Stuart (NT)	Certificate III and IV Level	50
Stuart (NT)	Advanced Diploma and Diploma	26
Stuart (NT)	Bachelor	50
Stuart (NT)	Graduate Diploma and Graduate Certificate	4
Stuart (NT)	Postgraduate	17
Stuart Park	Certificate nfd	54
Stuart Park	Certificate I and II Level	42
Stuart Park	Certificate III and IV Level	624
