SSC_NAME16	medianMortgageRepayment
Englorie Park	18672
Enmore (Armidale Regional - NSW)	25788
Enmore (Inner West - NSW)	31200
Enngonia	12612
Environa	
Epping (NSW)	26520
Eraring	26028
Eremerang	
Erigolia	
Erin Vale	
Erina	22104
Erina Heights	26256
Ermington	29532
Erowal Bay	19632
Errowanbang	
Erskine Park	24000
Erskineville	31200
Erudgere	28596
Eschol Park	20796
Esk (NSW)	
Essington	17496
Estella	20796
Ettalong Beach	18204
Ettamogah	19704
Ettrema	
Ettrick (NSW)	14484
Euabalong	4692
Euabalong West	
Euberta	30060
Euchareena	12996
Eucumbene	
Eugowra	12996
Eulah Creek	18204
Eumungerie	14304
Eunanoreenya	16908
Eungai Creek	13104
Eungai Rail	13032
Eungella (NSW)	19920
Eureka (NSW)	25200
Eurimbla	
Eurobodalla	12996
Euroka	20856
Euroley	
Eurongilly	17100
Eurunderee	31200
Euston	13200
Evans Head	18204
Evans Plains	23700
Eveleigh	30600
Eviron	26520
Ewingar	9936
Ewingsdale	24000
Exeter (NSW)	25200
Failford	17280
Fairfield (NSW)	19500
Fairfield East	22800
Fairfield Heights	23916
Fairfield West	23400
Fairholme	
Fairlight	36000
Fairy Hill	18708
Fairy Meadow	22884
Falbrook	
Falconer	20796
Falls Creek (NSW)	23700
Far Meadow	24000
Fargunyah	
Farley	25356
Farmborough Heights	23400
Farnham	
Farrants Hill	20808
Farringdon	
Fassifern (NSW)	19200
Faulconbridge	23400
Faulkland	23400
Fawcetts Plain	18000
Federal (NSW)	19200
Fennell Bay	19380
Fern Bay	26004
Fern Gully	13200
Fernances	
Fernances Crossing	29160
Fernbank Creek	25008
Fernbrook	12000
Fernhill	22980
Fernleigh	21324
Fernmount	18000
Fernside	18000
Fernvale (NSW)	17940
Ferodale	18204
Fiddletown	35604
Fifield	9720
Figtree	24696
Findon Creek	
Fine Flower	
Fingal Bay	15600
Fingal Head	26520
Finley	10500
Firefly	15600
Fishermans Bay	29400
Fishermans Paradise	14280
Fishermans Reach	7896
Fishers Hill	26004
Fishing Point	24000
Fitzgeralds Mount	27036
Fitzgeralds Valley	
Fitzroy Falls	26004
Five Dock	31404
Five Ways	
Flat Tops	16356
Fletcher (NSW)	26400
Flinders (NSW)	26004
Floraville	24000
Forbes (NSW)	13968
Forbes Creek	23916
Forbes River	
Forbesdale	22368
Fords Bridge	
Fordwich	
Forest Glen (NSW)	31200
Forest Grove (NSW)	23616
Forest Hill (NSW)	15960
Forest Land	
Forest Lodge	34800
Forest Reefs	27600
Forestville (NSW)	33804
Forresters Beach	24936
Forster (NSW)	18204
Fortis Creek	
Fosters Valley	14196
Fosterton	15060
Fountaindale	25956
Four Corners	
Four Mile Creek (NSW)	
Fowlers Gap	
Foxground	27384
Frazer Park	
Frazers Creek	21600
Frederickton	14040
Freeburn Island	
Freemans	
Freemans Reach	24000
Freemans Waterhole	29904
Freemantle	11208
French Park	24000
Frenchs Forest	36000
Freshwater (NSW)	31200
Frog Rock	23916
Frogmore	21600
Frogs Hollow	17340
Frying Pan	
Fullerton	12000
Fullerton Cove	26268
Furracabad	
Gadara	23916
Gala Vale	
Galambine	28008
Galong	11832
Galore	
Galston	30000
Ganbenang	21420
Gangat	10920
Ganmain	9000
Garah	7200
Garden Suburb	23400
Garema	8400
Garland	21684
Garland Valley	
Garoo	30000
Garra	24000
Garthowen	24624
Gateshead	18108
Gearys Flat	
Geehi	
Gelston Park	26400
Gemalla	24696
Geneva	17160
Georges Creek (NSW)	
Georges Hall	26004
Georges Plains	16848
Georgetown (NSW)	21972
Georgica	14400
Gerogery	18000
Gerringong	25476
Gerroa	26004
Geurie	15600
Ghinni Ghi	10920
Ghinni Ghinni	
Ghoolendaadi	
Giants Creek	23472
Gibberagee	
Gibraltar Range	
Gidginbung	15600
Gidley	20796
Gilead	
Gilgai	12996
Gilgandra	12996
Gilgooma	
Gilgunnia	
Gillenbah	
Gilletts Ridge	18876
Gillieston Heights	24000
Gilmandyke	
Gilmore (NSW)	24000
Gin Gin (NSW)	8880
Gineroi	14100
Ginghi	
Gingkin	17688
Girards Hill	15456
Girilambone	10404
Giro	
Girral	
Girralong	7800
Girraween (NSW)	26400
Girvan	18000
Gladesville	30000
Gladstone (NSW)	16020
Glanmire (NSW)	21720
Glebe (NSW)	32760
Gledswood Hills	
Glen Alice	
Glen Allen	
Glen Alpine	26004
Glen Davis	22488
Glen Elgin	
Glen Fergus	
Glen Innes	12996
Glen Martin	20796
Glen Nevis	
Glen Oak	24000
Glen Ward	
Glen William	29436
Glenbawn	31800
Glenbrook	24000
Glencoe (NSW)	11964
Glendale (NSW)	19356
Glendenning	24000
Glendon	24288
Glendon Brook	26004
Glenelg (NSW)	
Glenellen	18072
Glenfield (NSW)	24000
Glenfield Park	18000
Glengarrie	16800
Glenhaven	32220
Gleniffer	18792
Glenmore (NSW)	43200
Glenmore Park	26004
Glennies Creek	
Glenning Valley	22608
Glenorie	28800
Glenquarry	39000
Glenreagh	15600
Glenridding	21576
Glenrock (NSW)	
Glenroy (Albury - NSW)	18000
Glenroy (Snowy Valleys - NSW)	15000
Glenthorne	12996
Glenugie	15936
Glenwood (NSW)	28800
Glenworth Valley	
Glossodia	24000
Gloucester	15600
Gloucester Tops	
Goat Island	
Gobarralong	
Gobbagombalin	22884
Gocup	26004
Godfreys Creek	15432
Gogeldrie	
Gol Gol	18204
Gollan	25536
Golspie	10008
Gongolgon	
Gonn	20844
Goobarragandra	16344
Good Forest	13908
Good Hope	18000
Goodnight	18720
Goodooga	6504
Goodwood Island	
Googong	31200
Goolgowi	10032
Goolhi	
Goolma	27300
Goolmangar	16116
Gooloogong	11700
Goombargana	
Goonellabah	18204
Goonengerry	15996
Goonoo Forest	
Goonoo Goonoo	19500
Goonumbla	12948
Goorangoola	26004
Goorianawa	
Gordon (NSW)	33600
Gorge Creek	
Gormans Hill	18204
Gorokan	18204
Gosford	16800
Gosforth	36396
Gostwyck	
Goulburn	18204
Gouldsville	
Gowan	
Gowang	
Gowrie (Singleton - NSW)	24000
Gowrie (Tamworth Regional - NSW)	20796
Grabben Gullen	13836
Gradys Creek	12996
Grafton	15600
Gragin	
Grahamstown	19200
Graman	11700
Grants Beach	
Granville (NSW)	20796
Grasmere	28860
Grassy Head	12768
Grattai	15600
Gravesend	12000
Grays Point	34800
Great Mackerel Beach	12000
Great Marlow	25200
Green Cape	
Green Creek	
Green Forest	
Green Gully (NSW)	7800
Green Hills (Armidale Regional - NSW)	
Green Hills (Snowy Valleys - NSW)	
Green Pigeon	12000
Green Point (Central Coast - NSW)	23400
Green Point (Gosford - NSW)	
Green Point (Mid-Coast - NSW)	16908
Green Valley (NSW)	23400
Greenacre	24696
Greendale (Bega Valley - NSW)	14304
Greendale (Liverpool - NSW)	38400
Greenethorpe	7200
Greenfield Park	23400
Greengrove	
Greenhill (NSW)	15600
Greenhills Beach	46800
Greenlands (Singleton - NSW)	18204
Greenlands (Snowy Monaro Regional - NSW)	
Greenleigh	26004
Greenridge	20796
Greenwell Point	18204
Greenwich	33600
Greenwich Park	29772
Greg Greg	
Gregadoo	29304
Gregory Hills	31200
Greigs Flat	24900
Grenfell	11700
Gresford	24072
Greta (NSW)	19764
Greta Main	20208
Grevillia	16320
Greystanes	26004
Griffith (NSW)	18000
Grogan	11700
Grong Grong	12504
Grose Vale	28404
Grose Wold	31200
Grosses Plain	20796
Growee	
Guerilla Bay	
Guildford (NSW)	23400
Guildford West	24120
Gulargambone	7200
Gulf Creek	
Gulgong	18204
Gulmarrad	18204
Gum Flat	13272
Gum Scrub	25356
Gumbalie	
Gumble	
Gumly Gumly	15600
Gumma	18000
Gunbar	
Gundagai	14172
Gundamulda	
Gundaroo	26004
Gundary	28704
Gunderbooka	
Gunderman	18000
Gundy	23964
Gungal	18000
Gungalman	
Gunnedah	18204
Gunning	18204
Gunning Gap	15684
Gunningbland	7668
Gunningrah	
Gurley	8400
Gurnang	
Gurranang	10404
Gurrundah	22356
Guyong	21204
Guyra	14400
Gwabegar	4800
Gwandalan	19500
Gwynneville	24984
Gymea	28596
Gymea Bay	33600
Haberfield	36000
Hacks Ferry	
Halekulani	18720
Halfway Creek	13908
Hallidays Point	21600
Halloran	
Halls Creek (NSW)	14424
Hallsville	20796
Halton	
Hambledon Hill	
Hamilton (NSW)	23400
Hamilton East	26652
Hamilton North	22800
Hamilton South	26004
Hamilton Valley	18720
Hamlyn Terrace	23916
Hammondville	25200
Hampden Hall	24696
Hampton (NSW)	17160
Hanging Rock	10200
Hanleys Creek	
Hannam Vale	23760
Hanwood	16308
Harden	10404
Hardys Bay	21600
Harefield	28596
Hargraves	11916
Harolds Cross	34800
Harparary	21804
Harpers Hill	26004
Harrington	17160
Harrington Park	30000
Harris Park	20796
Hartley (NSW)	23400
Hartley Vale	22608
Hartwood	
Hartys Plains	
Harwood	15924
Hassall Grove	23400
Hassans Walls	
Hastings Point	12504
Hat Head	18600
Hatfield	
Havilah (NSW)	
Hawkesbury Heights	26088
Hawks Nest	20796
Hay (NSW)	11424
Hay South	12000
Hayes Gap	
Haymarket	28104
Haystack	
Hayters Hill	
Haywards Bay	27288
Hazelbrook	20796
Hazelgrove	18204
Heathcote (NSW)	28596
Heatherbrae	12996
Hebden	23400
Hebersham	19200
Heckenberg	21072
Heddon Greta	21144
Heifer Station	
Helensburgh	27600
Henley	32400
Henty (NSW)	12000
Hereford Hall	
Hermidale	11700
Hermitage Flat	11340
Hernani	10404
Herons Creek	17196
Hexham (NSW)	15600
Hickeys Creek	15600
High Range	34332
Higher Macdonald	
Highfields (NSW)	26004
Hill End (NSW)	9096
Hill Top (Snowy Monaro Regional - NSW)	19920
Hill Top (Wingecarribee - NSW)	20892
Hilldale	28608
Hillgrove (Armidale Regional - NSW)	11856
Hillgrove (Wagga Wagga - NSW)	
Hillsborough (Lake Macquarie - NSW)	22356
Hillsborough (Maitland - NSW)	36396
Hillsdale	24000
Hillston	11700
Hillville	18720
Hillvue	19068
Hinchinbrook (NSW)	24000
Hinton	18000
Hobartville (NSW)	22680
Hobbys Yards	20616
Hogarth Range	14400
Holbrook	12996
Holgate	30000
Hollisdale	18000
Hollydeen	28596
Holmesville	20544
Holroyd	24000
Holsworthy	26004
Holts Flat	
Home Rule	21600
Homebush (NSW)	26004
Homebush West	24000
Homeleigh	19764
Honeybugle	
Hopefield	4752
Hopkins Creek	20796
Horningsea Park	26004
Hornsby	25800
Hornsby Heights	30000
Horse Station Creek	14820
Horseshoe Bend	14556
Horseshoe Creek	22356
Horsfield Bay	21600
Horsley	23400
Horsley Park	31200
Hoskinstown	24108
Hovells Creek	
Howards Grass	17400
Howell	7956
Howes Valley	18720
Howick (NSW)	
Howlong	15600
Hoxton Park	25356
Humula	10404
Hungerford (NSW)	
Hunters Hill	42000
Hunterview	24000
Huntingdon	26400
Huntingwood	
Huntley (Orange - NSW)	19800
Huntley (Wollongong - NSW)	
Huntleys Cove	35388
Huntleys Point	45708
Huonbrook	17724
Hurlstone Park	27588
Hurstville	24000
Hurstville Grove	31200
Huskisson	18720
Hyams Beach	32028
Hyland Park	17676
Hyndmans Creek	23700
Ilarwill	13368
Ilford	10260
Illabo	13104
Illaroo	
Illawong	30000
Iluka (NSW)	14436
Indi	
Ingebirah	23400
Ingleburn	21600
Ingleside	36204
Innes View	
Inverell	15444
Invergordon (NSW)	
Invergowrie	19764
Iron Pot Creek	10944
Ironbark (NSW)	
Ironmungy	
Irvington	15600
Irymple (NSW)	
Isabella	31920
Islington	20796
Ivanhoe (NSW)	9096
Jackadgery	15600
Jacks Creek	18720
Jacksons Flat	
Jacky Bulbin Flat	
Jagumba	
Jagungal Wilderness	
Jamberoo	23916
James Creek	19200
Jamisontown	22680
Jannali	28080
Jaspers Brush	24744
Jaunter	
Jeir	26004
Jellat Jellat	16200
Jemalong	3900
Jembaicumbene	
Jennings	6504
Jenolan	
Jeogla	26004
Jerangle	24000
Jeremadra	15528
Jeremy	
Jerilderie	9468
Jerrabattgulla	
Jerrabomberra	28596
Jerrara	36000
Jerrawa	18708
Jerrawangala	24444
Jerrong	
Jerrys Plains	21192
Jerseyville	19200
Jesmond	18696
Jewells	22104
Jews Lagoon	
Jiggi	18204
Jilliby	27276
Jimenbuen	
Jincumbilly	
Jindabyne	19080
Jinden	
Jindera	17400
Jingellic	16008
Jingera	
Joadja	25008
Joes Box	
Johns River	16128
Jolly Nose	
Jones Bridge	
Jones Creek	18204
Jones Island	15600
Jordan Springs	31200
Judds Creek	
Jugiong	12996
Junction Hill	18108
Junee	14400
Junee Reefs	23700
Kahibah	21204
Kains Flat	18204
Kalang	15600
Kalaru	18204
Kalkite	14556
Kamarah	
Kameruka	20796
Kanahooka	21600
Kanangra	
Kandos	10404
Kangaloon	43500
Kangaroo Creek	15600
Kangaroo Point (NSW)	48000
Kangaroo Valley	21600
Kangaroobie	31200
Kangiara	14400
Kangy Angy	23964
Kanimbla (NSW)	24000
Kanoona	19632
Kanwal	19008
Kapooka	
Kaputar	
Karaak Flat	24708
Karabar	23136
Karangi	17676
Kareela	31200
Kariong	23400
Kars Springs	
Karuah	16800
Katoomba	18204
Kayuga	
Kearns	24000
Kearsley	18204
Keepit	
Keera	49296
Keerrong	19404
Keinbah	24000
Keiraville	22800
Keith Hall	23400
Kellys Plains	22752
Kellyville	31200
Kellyville Ridge	30144
Kelso (NSW)	21216
Kelvin	22104
Kembla Grange	27600
Kembla Heights	
Kemps Creek	26004
Kempsey	11964
Kendall	17160
Kenebri	10404
Kennaicle Creek	
Kensington (NSW)	31200
Kenthurst	33600
Kentlyn	30000
Kentucky	16044
Kentucky South	15288
Kerewong	
Keri Keri	
Kerrabee	
Kerrigundi	
Kerrs Creek	12912
Kew (NSW)	18204
Keybarbin	
Khancoban	10404
Khatambuhl	
Kia Ora (NSW)	
Kiacatoo	
Kiah	13656
Kiama	23868
Kiama Downs	24000
Kiama Heights	23148
Kianga (NSW)	17556
Kiar	20808
Kickabil	9504
Kielvale	20796
Kikiamah	24000
Kikoira	
Kilaben Bay	23400
Kilgin	15600
Kilgra	4944
Killabakh	15600
Killara (NSW)	36000
Killarney Heights	36000
Killarney Vale	20796
Killawarra (NSW)	18612
Killcare	24000
Killcare Heights	24000
Killiekrankie	
Killimicat	
Killingworth (NSW)	20796
Killongbutta	23400
Kimbriki	17100
Kinchela	18000
Kincumber	22464
Kincumber South	20556
Kindee	15168
Kindervale	
King Creek	23400
Kingfisher Shores	21840
Kinghorne	
Kings Forest	
Kings Langley	26004
Kings Park (NSW)	25548
Kings Plains (Blayney - NSW)	13836
Kings Plains (Inverell - NSW)	
Kings Point	16068
Kingscliff	24000
Kingsdale	26004
Kingsford (NSW)	30000
Kingsgate	
Kingsgrove	28200
Kingsland	
Kingstown	
Kingsvale	15264
Kingswood (Bega Valley - NSW)	
Kingswood (Penrith - NSW)	20568
Kingswood (Tamworth Regional - NSW)	23400
Kioloa	15600
Kiora	18300
Kippara	
Kippaxs	
Kippenduff	5196
Kirkconnell	15600
Kirkham	31200
Kirrawee	28800
Kirribilli	30948
Kitchener	18204
Kiwarrak	
Klori	23916
Knights Hill	37104
Knockrow	18000
Knorrit Flat	9900
Knorrit Forest	
Kogarah	24000
Kogarah Bay	30000
Kooba	
Kookabookra	
Koolewong	20748
Koolkhan	14304
Koonawarra	18204
Koonorigan	15600
Koonyum Range	
Kooragang	
Koorainghat	16620
Koorawatha	9096
Kooringal (NSW)	16644
Kootingal	16644
Koraleigh	8880
Koreelah	20796
Korora	21600
Kosciuszko	
Kosciuszko National Park	6600
Kotara	22728
Kotara South	23400
Krambach	15084
Krawarree	
Kremnos	10404
Ku-Ring-Gai Chase	
Kulnura	24000
Kulwin (NSW)	
Kunama	14724
Kundabung	18000
Kundibakh	13812
Kundle Kundle	17940
Kungala	11616
Kunghur	17676
Kunghur Creek	19176
Kurmond	26004
Kurnell	31200
Kurraba Point	36000
Kurrajong	27036
Kurrajong Heights	26004
Kurrajong Hills	31740
Kurri Kurri	16536
Kyalite	6504
Kyarran	
Kybeyan	5760
Kyeamba	8400
Kyeemagh	33048
Kyle Bay	36000
Kynnumboon	20472
Kyogle	14400
La Perouse	30000
Lacmalac	24000
Lade Vale	21036
Ladysmith	14976
Laffing Waters	35748
Laggan	15084
Lagoon Grass	11028
Laguna	19488
Lake Albert (NSW)	19656
Lake Bathurst	18852
Lake Brewster	
Lake Burrendong	
Lake Cargelligo	10404
Lake Cathie	20796
Lake Conjola	18204
Lake Cowal	
Lake George	31200
Lake Haven	17112
Lake Heights	20796
Lake Hume Village	
Lake Illawarra	18660
Lake Innes	20796
Lake Macquarie	
Lake Munmorah	19200
Lake Tabourie	12996
Lake Wyangan	20796
Lakelands (NSW)	25200
Lakemba	19200
Lakesland	28308
Lakewood	17364
Lalalty	24000
Lalor Park	22776
Lambs Valley (Glen Innes Severn - NSW)	19296
Lambs Valley (Singleton - NSW)	26004
Lambton	21324
Landervale	
Lane Cove	31200
Lane Cove North	28800
Lane Cove West	36000
Langley Vale	19200
Lanitza	16800
Lankeys Creek	10404
Lansdowne (Canterbury-Bankstown - NSW)	
Lansdowne (Mid-Coast - NSW)	12996
Lansdowne Forest	
Lansvale	20796
Lapstone	26004
Larbert	19128
Largs	24000
Larnook	10404
Larras Lee	
Laughtondale	20796
Laurel Hill	19236
Laurieton	15600
Lavadia	
Lavender Bay	33600
Laverstock	
Lavington	15600
Lawrence (NSW)	14400
Lawson (NSW)	20796
Leadville	9360
Leconfield	26004
Lee Creek	
Leeton	15600
Leets Vale	
Leeville	16380
Legume	15084
Leichhardt (NSW)	36000
Lemington	
Lemon Tree	24576
Lemon Tree Passage	18204
Len Waters Estate	
Lenaghan	40500
Lennox Head	23904
Leonay	26004
Leppington	30216
Lerida	
Lethbridge Park	18000
Leumeah	21036
Leura	21444
Levenstrath	25224
Lewinsbrook	
Lewis Ponds	19764
Lewisham (NSW)	30120
Leycester	15000
Liberty Grove	24900
Lidcombe	25200
Liddell	
Lidsdale	16020
Lidster	26400
Lightning Ridge	10404
Lilli Pilli (Eurobodalla - NSW)	16800
Lilli Pilli (Sutherland Shire - NSW)	40824
Lillian Rock	9624
Lilydale (NSW)	
Lilyfield	36000
Lilyvale (NSW)	
Limbri	10800
Limeburners Creek (Mid-Coast - NSW)	17160
Limeburners Creek (Port Macquarie-Hastings - NSW)	
Limekilns	23400
Limerick	
Limestone (NSW)	
Limpinwood	20940
Linburn	21756
Linden (NSW)	23832
Lindendale	25224
Lindesay	
Lindesay Creek	
Lindfield	36000
Lindifferon	17688
Linley Point	51996
Lionsville	
Lisarow	22632
Lismore (NSW)	15600
Lismore Heights	16200
Liston	10704
Lithgow	15600
Little Back Creek	18204
Little Bay	31464
Little Billabong	14400
Little Forest	16644
Little Hartley	23400
Little Jacks Creek	
Little Jilliby	24000
Little Pelican	
Little Plain	22104
Little River (NSW)	22104
Little Topar	
Little Wobby	13200
Littleton	15600
Liverpool	19764
Llanarth (NSW)	25740
Llandilo	26004
Llangothlin	16800
Lloyd	21600
Loadstone	18204
Lochiel (NSW)	18360
Lochinvar	20796
Lockhart	10404
Locksley (NSW)	16200
Loftus	27300
Loftville	
Logans Crossing	20796
Logie Brae	
Londonderry (NSW)	26400
Long Beach	19200
Long Flat (NSW)	13260
Long Jetty	20796
Long Plain (Inverell - NSW)	
Long Plain (Snowy Monaro Regional - NSW)	
Long Point (Campbelltown - NSW)	30600
Long Point (Singleton - NSW)	24120
Longarm	
Longreach (NSW)	23400
Longueville	51996
Loomberah	21600
Lord Howe Island	22404
Lords Hill	
Lorn	21600
Lorne (NSW)	13812
Lost River	15864
Lostock	
Louisa Creek	
Louth	
Louth Park	22356
Lovedale	25260
Lovett Bay	33132
Lowanna	12096
Lower Acacia Creek	16800
Lower Bago	
Lower Belford	26004
Lower Boro	14040
Lower Bottle Creek	31728
Lower Creek	
Lower Duck Creek	
Lower Dyraaba	
Lower Lewis Ponds	30000
Lower Macdonald	19956
Lower Mangrove	10404
Lower Pappinbarra	19500
Lower Peacock	
Lower Portland	26004
Lower Southgate	15600
Lowesdale	12480
Lowther	19200
Loxford	
Lucas Heights	
Lucknow (NSW)	22800
Luddenham	30000
Lue	15864
Lugarno	31200
Lurnea	22104
Luskintyre	27660
Lynchs Creek	18384
Lyndhurst (Armidale Regional - NSW)	
Lyndhurst (Blayney - NSW)	15600
Lynwood (NSW)	15600
Mabins Well	
Macdonalds Creek	
Macksville	14820
Maclean	15600
Macmasters Beach	24000
Macquarie Fields	20400
Macquarie Hills	22884
Macquarie Links	31908
Macquarie Marshes	
Macquarie Park	24000
Macquarie Pass	
Maddens Plains	
Maffra (NSW)	
Magenta (NSW)	28596
Magometon	
Maianbar	30000
Maimuru	15600
Main Arm	20796
Main Creek	11700
Mairjimmy	
Maison Dieu	31200
Maitland (NSW)	15600
Maitland Bar	
Maitland Vale	26004
Majors Creek (NSW)	15012
Malabar	31200
Maldon (NSW)	
Mallabula	18000
Mallan	
Mallanganee	7800
Mallee	
Mallowa	
Maloneys Beach	18096
Malua Bay	18204
Manar	24336
Manchester Square	
Mandagery	19656
Mandalong	24300
Mandemar	33600
Mandurama	15156
Mangerton	26004
Mangoola	
Mangoplah	14700
Mangrove Creek	
Mangrove Mountain	26004
Manildra	14556
Manilla	12996
Manly (NSW)	34584
Manly Vale	28800
Mannering Park	17580
Manning Point	17160
Mannus	18204
Manobalai	
Manton (NSW)	23916
Manyana	16248
Maragle	13776
Maraylya	31200
Marayong	24000
March	25008
Marchmont	33384
Mardi	22980
Marengo (NSW)	
Mares Run	
Marinna	4428
Marks Point	20160
Markwell	19308
Marlee	16800
Marlo Merrican	13356
Marlow	
Marlowe	
Marmong Point	21600
Marom Creek	16644
Maroota	26400
Maroubra	31200
Marrangaroo	23820
Marrar	14556
Marrickville	28596
Marsden Park	31200
Marsfield	26004
Marshall Mount	46800
Marshdale	6372
Marthaguy	
Martindale	19116
Martins Creek	20796
Martinsville	20796
Marulan	18204
Maryland (Newcastle - NSW)	20796
Maryland (Tenterfield - NSW)	12996
Marys Mount	28800
Maryvale (NSW)	20400
Maryville	22716
Mascot	29880
Matcham	36000
Matheson	
Mathoura	11184
Matong	5592
Matraville	30000
Maude (NSW)	
Maules Creek	15348
Maxwell	16800
Maybole	22104
Mayers Flat	8100
Mayfield (Newcastle - NSW)	20376
Mayfield (Oberon - NSW)	
Mayfield (Queanbeyan-Palerang Regional - NSW)	
Mayfield (Shoalhaven - NSW)	
Mayfield East	20544
Mayfield North	
Mayfield West	20160
Mayrung	
Mays Hill	22620
Mayvale	
McCullys Gap	30000
McDougalls Hill	21456
McGraths Hill	26004
McKees Hill	20652
McKellars Park	19320
McLeans Ridges	26004
McLeods Shoot	22680
McMahons Point	35028
McMahons Reef	
Meadow Flat	20640
Meadowbank (NSW)	24912
Mebbin	
Mebul	
Medlow Bath	16896
Medowie	21840
Medway	19740
Meerschaum Vale	17760
Megalong Valley	26004
Megan	10500
Melbergen	
Melinga	13524
Mellong	
Mellool	
Melrose Park (NSW)	33600
Melville (NSW)	26784
Memagong	25200
Menah	24708
Menai	26640
Menangle	28500
Menangle Park	18000
Mendooran	10404
Menindee	8400
Merah North	
Merewether	26004
Merewether Heights	26004
Merimbula	16800
Meringo	21852
Mernot	
Meroo	
Meroo Meadow	26004
Merotherie	
Merriangaah	
Merricumbene	
Merrigal	
Merrill	8196
Merriwa (NSW)	14556
Merriwagga	5196
Merrygoen	2700
Merrylands	24000
Merrylands West	24000
Merungle Hill	15600
Meryla	
Metford	18840
Methul	
Metz	28800
Miamley	
Miandetta (NSW)	
Micalo Island	15000
Michelago	30000
Middle Arm	23400
Middle Brook	25200
Middle Brother	15600
Middle Cove	41604
Middle Dural	30000
Middle Falbrook	27012
Middle Flat	23400
Middle Pocket	20796
Middleton Grange	28800
Middlingbank	
Midginbil	16800
Mihi	17472
Mila	8208
Milbrodale	21840
Milbrulong	12000
Milkers Flat	
Millah Murrah	
Millbank (NSW)	9096
Miller	17424
Millers Forest	26004
Millers Point	42960
Millfield	17160
Millie	
Millingandi	18000
Millthorpe	20796
Milparinka	
Milperra	27036
Milroy (Gunnedah - NSW)	18276
Milroy (Mid-Western Regional - NSW)	31200
Milsons Passage	
Milsons Point	36000
Milton (NSW)	18000
Milvale	
Mimosa (NSW)	15468
Minchinbury	25872
Mindaribba	23808
Mingoola (NSW)	
Minimbah	15600
Minjary	15600
Minmi	20796
Minnamurra	28596
Minnie Water	19344
Minore	22104
Minto	24000
Minto Heights	40308
Mirador	22884
Miranda (NSW)	26712
Mirannie	26400
Mirrabooka (NSW)	19836
Mirrool	6720
Missabotti	12996
Mitchell (NSW)	16128
Mitchells Flat	33804
Mitchells Island	20796
Mittagong	20796
Moama	18720
Modanville	19008
Mogareeka	10752
Mogendoura	26004
Moggs Swamp	
Mogilla	12996
Mogo (Eurobodalla - NSW)	16128
Mogo (Mid-Western Regional - NSW)	
Mogo Creek	
Mogood	18072
Mograni	
Mogriguy	16116
Mole River	10332
Moleville Creek	
Mollyan	18000
Mollymook	18204
Mollymook Beach	18204
Molong	18204
Mona Vale	31200
Monak	
Monaltrie	15900
Mondayong	
Mondrook	24300
Monga	
Mongarlowe	18972
Mongogarie	20796
Monia Gap	
Monivae	
Monkerai	
Monteagle	15024
Montecollum	24000
Montefiores	18204
Monterey	26004
Mooball	18000
Moobi	24408
Moogem	
Mookerawa	
Mookima Wybra	
Moolarben	
Moollattoo	
Moolpa	
Moombooldool	
Moonan Brook	
Moonan Flat	19800
Moonbah	21972
Moonbi	18204
Moonbria	
Mooneba	18720
