SSC_NAME16	medianTotalFamilyIncome
Fitzroy North	135356
Flaggy Creek	57408
Flagstaff	49348
Flamingo Beach	
Flemington	80756
Flinders (Vic.)	102336
Flora Hill	71552
Flowerdale (Vic.)	63440
Flynn (Vic.)	95316
Flynns Creek	
Footscray	86320
Forbes (Vic.)	108316
Forest Hill (Vic.)	88140
Forge Creek	74048
Forrest (Vic.)	57408
Foster	61256
Foster North	60112
Fosterville	93184
Foxhow	155948
Framlingham	79612
Framlingham East	80184
Franklinford	80132
Frankston	73372
Frankston North	55172
Frankston South	106704
Freeburgh	57200
French Island	43836
Frenchmans	
Freshwater Creek	95836
Fryerstown	74724
Fulham (Vic.)	95836
Fumina	
Fumina South	54184
Fyans Creek	94224
Fyansford	94224
Gaffneys Creek	
Gainsborough	108316
Gannawarra	61724
Gapsted	94224
Gardenvale	122356
Garfield (Vic.)	83928
Garfield North	85748
Garibaldi	68224
Garvoc	70304
Gateway Island	
Gatum	55224
Gazette	84500
Geelong	106600
Geelong West	103376
Gelantipy	59748
Gellibrand	79612
Gellibrand Lower	
Gelliondale	46800
Gembrook	93132
Genoa	48516
Gentle Annie	
Georges Creek (Vic.)	71500
Gerahmin	71448
Gerang Gerung	74724
Gerangamete	94224
Germania	
Germantown (Vic.)	
Gerrigerrup	68224
Gherang	98020
Gheringhap	69316
Ghin Ghin	97500
Giffard	55224
Giffard West	62816
Gil Gil	55224
Gilderoy	37700
Gillieston	93184
Gillum	
Gipsy Point	97500
Girgarre	60632
Girgarre East	67184
Gisborne	110708
Gisborne South	122408
Gladfield (Vic.)	81224
Gladstone Park	74516
Gladysdale	78780
Glen Alvie	81692
Glen Creek	67184
Glen Forbes	68224
Glen Huntly	101140
Glen Iris (Vic.)	147368
Glen Park	97500
Glen Valley	
Glen Waverley	92456
Glen Wills	
Glenaire	71500
Glenaladale	71448
Glenalbyn	58500
Glenaroua	94900
Glenbrae	61724
Glenburn	73892
Glendaruel	94224
Glendonald	
Glenfalloch	
Glenfyne	84500
Glengarry (Vic.)	101608
Glengarry North	105456
Glengarry West	96408
Glengower	
Glenhope	71448
Glenhope East	38948
Glenisla	58500
Glenlee (Vic.)	84448
Glenlofty	136448
Glenlogie	67184
Glenloth	
Glenloth East	116948
Glenluce	81224
Glenlyon (Vic.)	62088
Glenmaggie	65624
Glenmore (Vic.)	90948
Glenorchy (Vic.)	61724
Glenormiston North	88816
Glenormiston South	56316
Glenpatrick	50232
Glenrowan	76544
Glenrowan West	46748
Glenroy (Vic.)	74776
Glenthompson	55900
Glomar Beach	
Gnarwarre	86632
Gnotuk	112632
Gobarup	116948
Gobur	68224
Golden Beach (Vic.)	43524
Golden Gully	67756
Golden Point (Ballarat - Vic.)	66612
Golden Point (Mount Alexander - Vic.)	84500
Golden Square	72852
Goldie	101816
Goldsborough (Vic.)	58500
Gong Gong	
Gonn Crossing	53300
Goomalibee	74724
Goon Nure	68224
Goongerah	
Gooram	76648
Gooramadda	107224
Goorambat	69836
Goornong	80288
Gooroc	68224
Gorae	101192
Gorae West	85748
Gordon (Vic.)	87516
Gormandale	96564
Goroke	54756
Goschen	97500
Goughs Bay	58500
Goulburn Weir	61724
Gowanbrae	109824
Gowanford	
Gowangardie	116948
Gowar East	97500
Gower	80184
Grahamvale	94224
Grampians	
Grand Ridge	
Granite Rock	80132
Grantville	59228
Granya	54132
Grassdale (Vic.)	97500
Grassmere	85384
Grays Bridge	
Graytown	45032
Gre Gre	90948
Gre Gre North	
Gre Gre South	
Great Western	73320
Gredgwin	
Green Gully (Vic.)	58448
Greendale (Vic.)	95316
Greenhill (Vic.)	68900
Greens Creek (Vic.)	58500
Greensborough	105196
Greenvale (Vic.)	105664
Greenwald	84448
Grenville	81224
Greta (Vic.)	105612
Greta South	94224
Greta West	67756
Grey River	
Gringegalgona	49348
Gritjurk	59748
Grovedale	76336
Gruyere	105144
Guildford (Vic.)	55796
Gunbower	62920
Gundowring	109408
Gunyah	
Guys Forest	
Guys Hill	140192
Gymbowen	87724
Haddon	84500
Hadfield	71136
Hallam	70876
Hallora	56316
Halls Gap	71500
Hallston	61724
Hamilton (Vic.)	71864
Hamlyn Heights	83616
Hampton (Vic.)	151892
Hampton East	112008
Hampton Park	70616
Hansonville	72540
Happy Valley (Golden Plains - Vic.)	80132
Happy Valley (Swan Hill - Vic.)	97500
Harcourt	79768
Harcourt North	78832
Harkaway	122616
Harmers Haven	82316
Harrietville	74412
Harrow	67600
Harston	71500
Hastings (Vic.)	65104
Hattah	112632
Havelock	49348
Haven	96720
Havilah (Vic.)	71500
Hawkesdale	81224
Hawkhurst	
Hawthorn (Vic.)	137540
Hawthorn East	140868
Hazel Park	73632
Hazelwood	66612
Hazelwood North	105612
Hazelwood South	107224
Healesville	77688
Heath Hill	67184
Heathcote (Vic.)	52156
Heathcote Junction	98072
Heathcote South	
Heatherton	105144
Heathmere	63648
Heathmont	107900
Hedley	67132
Heidelberg	115128
Heidelberg Heights	95004
Heidelberg West	58916
Hensley Park	101816
Henty (Vic.)	100724
Hepburn	62868
Hepburn Springs	64324
Herne Hill (Vic.)	79976
Hernes Oak	118248
Hesket	121316
Hesse	
Hexham (Vic.)	70408
Heyfield	66248
Heytesbury Lower	97500
Heywood	70356
Hiamdale	123448
Hiawatha	46800
High Camp	95316
Highett	112996
Highlands	80600
Highton	104416
Hilgay	49348
Hill End (Vic.)	71500
Hillcrest (Vic.)	63856
Hilldene	75088
Hillside (East Gippsland - Vic.)	94224
Hillside (Melton - Vic.)	98436
Hinnomunjie	71500
Hmas Cerberus	103116
Hoddles Creek	91260
Hollands Landing	
Homebush (Vic.)	71448
Homerton	68224
Homewood	108316
Hopetoun (Vic.)	65988
Hopetoun Park	108316
Hoppers Crossing	78312
Hordern Vale	71500
Horfield	66092
Horsham	71552
Hotham Heights	94224
Hotspur	64948
Howes Creek	69836
Howitt Plains	
Howqua	117000
Howqua Hills	
Howqua Inlet	38948
Hughesdale	107796
Humevale	108056
Hunter	175448
Hunterston	168948
Huntingdale (Vic.)	96096
Huntly	85904
Huntly North	80184
Huon	97500
Huon Creek	97500
Hurstbridge	105768
Icy Creek	
Iguana Creek	56316
Illabarook	35724
Illawarra	87724
Illowa	102336
Indented Head	61776
Indigo Valley	88504
Inglewood (Vic.)	54340
Ingliston	84448
Invergordon (Vic.)	73424
Inverleigh	98072
Inverloch	67444
Invermay (Vic.)	107380
Invermay Park	94796
Iona	87724
Iraak	84500
Irishtown (Vic.)	
Ironbark (Vic.)	70252
Irrewarra	84500
Irrewillipe	69316
Irrewillipe East	61048
Irymple (Vic.)	76804
Ivanhoe (Vic.)	126724
Ivanhoe East	156416
Jacana	61672
Jack River	69836
Jackass Flat	70564
Jacob Creek	71448
Jam Jerrup	71500
Jamieson (Vic.)	41080
Jan Juc	110812
Jancourt	84500
Jancourt East	69836
Jarklin	117000
Jarrahmond	76648
Jarvis Creek	84500
Jeeralang	58500
Jeeralang Junction	107796
Jeetho	74724
Jeffcott	71500
Jeffcott North	
Jeparit	41132
Jericho (Vic.)	
Jeruk	
Jil Jil	
Jindivick	75816
Joel Joel	58500
Joel South	95316
Johanna	71448
Johnsonville	61048
Joyces Creek	84448
Jumbuk	62816
Jumbunna	61724
Junction Village	69836
Jung	50804
Jungaburra	
Junortoun	108732
Kaarimba	87724
Kadnook	84500
Kalimna	60060
Kalimna West	69524
Kalkallo	71500
Kalkee	58448
Kallista	108004
Kalorama	93808
Kalpienung	142948
Kamarooka	69836
Kamarooka North	
Kanagulk	84500
Kancoona	69316
Kangaroo Flat (Vic.)	65156
Kangaroo Ground	134680
Kaniva	71188
Kanumbra	58500
Kanya	
Kanyapella	71500
Karabeal	71448
Kardella	81224
Kardella South	97500
Kariah	84448
Karnak	
Karramomus	50648
Karyrie	71500
Katamatite	64376
Katamatite East	95316
Katandra	81224
Katandra West	81536
Katunga	71708
Kawarren	62348
Kealba	79248
Keely	71500
Keilor	105196
Keilor Downs	77012
Keilor East	91104
Keilor Lodge	106444
Keilor North	81224
Keilor Park	76336
Kellalac	97448
Kelvin View	71500
Kenley	74724
Kenmare (Vic.)	
Kennedys Creek	103948
Kennett River	97500
Kennington	77220
Kensington (Vic.)	128960
Kerang	62140
Kerang East	95316
Kergunyah	94900
Kergunyah South	63648
Kernot	84500
Kerrie	162500
Kerrisdale	81224
Kevington	103948
Kew (Vic.)	144872
Kew East	135408
Kewell	49348
Keysborough	84032
Kialla	98592
Kialla East	93600
Kialla West	99632
Kiata	48516
Kiewa	91364
Kilcunda	71032
Killara (Glenelg - Vic.)	
Killara (Wodonga - Vic.)	97500
Killarney (Vic.)	89336
Killawarra (Vic.)	90116
Killingworth (Vic.)	84448
Kilmany	80600
Kilmore	82628
Kilmore East	102024
Kilsyth	86996
Kilsyth South	102908
Kimbolton (Vic.)	69316
King Valley	53612
Kinglake	85176
Kinglake Central	74412
Kinglake West	84916
Kingower	84448
Kings Park (Vic.)	56472
Kingsbury	63804
Kingston (Vic.)	80860
Kingsville	117468
Kinnabulla	71448
Kinypanial	55224
Kirkstall	92300
Kirwans Bridge	65884
Kithbrook	39624
Knebsworth	
Knockwood	
Knowsley	71500
Knoxfield	88036
Koallah	
Koetong	71500
Kolora	71500
Kongwak	74724
Konongwootong	84448
Koo Wee Rup	83512
Koo Wee Rup North	100724
Kooloonong	110448
Koonda	53248
Koondrook	53508
Koonoomoo	76752
Koonwarra	85384
Kooreh	71448
Koorlong	99476
Koornalla	134316
Kooroocheang	100724
Koorool	
Koorooman	73632
Kooyong	174980
Koriella	49348
Korobeit	136448
Koroit	75452
Korong Vale	38012
Koroop	87724
Korumburra	64324
Korumburra South	77948
Korweinguboora	66040
Kotta	62816
Kotupna	62816
Koyuga	75608
Krowera	71500
Kulwin (Vic.)	71500
Kunat	84448
Kurraca	
Kurraca West	
Kurting	58500
Kurunjang	78520
Kyabram	66820
Kyabram South	55224
Kyneton	80808
Kyneton South	139724
Kyvalley	73112
Laanecoorie	58500
Laang	95836
Labertouche	81900
Laceby	79300
Ladys Pass	67184
Laen East	
Laen North	
Lah	68224
Laharum	67184
Lake Boga	69368
Lake Bolac	56316
Lake Bunga	59488
Lake Charm	60632
Lake Condah	
Lake Eildon	
Lake Eppalock	
Lake Fyans	71448
Lake Gardens	101348
Lake Goldsmith	84448
Lake Lonsdale	86632
Lake Marmal	84500
Lake Meran	49348
Lake Mundi	97500
Lake Powell	90948
Lake Rowan	63856
Lake Tyers	24232
Lake Tyers Beach	57460
Lake Tyrrell	
Lake Wellington	
Lake Wendouree	123552
Lake Wongan	
Lakes Entrance	56368
Lal Lal	81224
Lalbert	50908
Lalor	63492
Lamplough	43316
Lancaster	73320
Lance Creek	87048
Lancefield	87828
Landsborough (Vic.)	61724
Landsborough West	62816
Lang Lang	70772
Lang Lang East	97500
Langdons Hill	44148
Langi Kal Kal	62816
Langi Logan	23400
Langkoop	66612
Langley	73632
Langsborough	60632
Langwarrin	96564
Langwarrin South	110344
Lara	93704
Lardner	71500
Larpent	65832
Lascelles	67132
Launching Place	84760
Lauriston	97500
Lavers Hill	53248
Laverton (Vic.)	65780
Laverton North	35724
Lawler	
Lawloit	53248
Lawrence (Vic.)	
Leaghur	103948
Learmonth (Vic.)	68224
Ledcourt	80184
Leichardt	84500
Leigh Creek (Vic.)	46748
Leitchville	64584
Lemnos	79612
Leneva	105196
Leonards Hill	71448
Leongatha	72436
Leongatha North	75816
Leongatha South	85280
Leopold	82576
Lerderderg	
Leslie Manor	81224
Lethbridge	82836
Lexton	55224
Licola	
Licola North	
Lillico (Vic.)	93184
Lillicur	43316
Lillimur	66612
Lilliput	117000
Lilydale (Vic.)	91728
Lima	58500
Lima East	66092
Lima South	107692
Limestone (Vic.)	67132
Lindenow	69160
Lindenow South	70096
Lindsay	
Lindsay Point	123448
Linga	58500
Linton	54964
Liparoo	82316
Lismore (Vic.)	63336
Litchfield	81224
Little Desert	
Little Hampton	108316
Little River (Vic.)	98748
Llanelly	58500
Llowalong	84500
Loch	77168
Loch Sport	40092
Loch Valley	
Lockington	66040
Locksley (Vic.)	88816
Lockwood	84500
Lockwood South	93444
Loddon Vale	110500
Logan	55224
Londrigan	87724
Long Forest	99632
Long Gully	55484
Longford (Vic.)	97188
Longlea	98852
Longwarry	72644
Longwarry North	74724
Longwood (Vic.)	63336
Longwood East	63648
Lorne (Vic.)	77324
Lorquon	103948
Lovely Banks	87204
Lower Moira	97500
Lower Norton	82316
Lower Plenty	117468
Loy Yang	
Lubeck	61724
Lucas	96356
Lucknow (Vic.)	66976
Lucyvale	40248
Lurg	68900
Lynbrook	92144
Lyndhurst (Vic.)	105924
Lyons (Vic.)	71500
Lyonville	62816
Lysterfield	125944
Lysterfield South	143676
Macarthur (Vic.)	61412
Macclesfield (Vic.)	113152
Macedon	112164
Macks Creek	71448
Macleod (Vic.)	111228
Macorna	61724
Macorna North	84448
Macs Cove	49348
Madalya	71500
Maddingley	86060
Mafeking	
Maffra (Vic.)	72904
Maffra West Upper	84448
Magpie	86632
Maiden Gully	101608
Maidstone	88660
Mailors Flat	104624
Main Lead	48932
Main Ridge	99112
Maindample	56316
Maintongoon	68224
Major Plains	58448
Majorca	58500
Maldon (Vic.)	57304
Mallacoota	57148
Malmsbury	75556
Malvern (Vic.)	167076
Malvern East	137644
Mambourin	
Manangatang	68224
Mandurang	107016
Mandurang South	94224
Mangalore (Vic.)	66612
Manifold Heights	102596
Mannerim	110500
Mannibadar	71448
Manns Beach	39624
Manorina	
Mansfield (Vic.)	73840
Maramingo Creek	
Marcus Hill	86632
Mardan	71500
Marengo (Vic.)	61724
Maribyrnong	105248
Marionvale	62816
Markwood	72280
Marlbed	
Marlo	84500
Marnoo	58500
Marnoo East	
Marnoo West	84500
Marong	84292
Maroona	58500
Marraweeney	58448
Marshall	79456
Marthavale	
Marungi	53612
Maryborough (Vic.)	51324
Maryknoll	104936
Marysville	61048
Maryvale (Vic.)	58448
Massey	33748
Matlock	
Maude (Vic.)	105612
McCrae	77792
McIntyre	37700
McKenzie Creek	108888
McKenzie Hill	79196
McKinnon	124904
McLoughlins Beach	42900
McMahons Creek	62816
McMillans	75816
Mead	68224
Meadow Creek	62816
Meadow Heights	55952
Meatian	
Meeniyan	68640
Meering West	
Meerlieu	58448
Melbourne	89232
Melbourne Airport	
Melton (Vic.)	59956
Melton South	65364
Melton West	80132
Melville Forest	61724
Melwood	68224
Mena Park	54184
Mentone	109772
Menzies Creek	103168
Mepunga	71500
Mepunga East	90948
Mepunga West	100724
Merbein	55640
Merbein South	72332
Merbein West	78936
Meredith	73112
Meringur	94224
Merino	61984
Mernda	92144
Merriang	86112
Merriang South	71500
Merricks	109200
Merricks Beach	76336
Merricks North	110136
Merrigum	63960
Merrijig (East Gippsland - Vic.)	
Merrijig (Mansfield - Vic.)	94224
Merrimu	120536
Merrinee	97500
Merton	65780
Metcalfe	64012
Metcalfe East	84448
Metung	59748
Mia Mia (Vic.)	61048
Mickleham	98644
Middle Creek	37700
Middle Park (Vic.)	167076
Middle Tarwin	97500
Miepoll	70408
Miga Lake	103948
Milawa	75920
Mildura	67704
Mill Park	85540
Millbrook (Vic.)	84500
Millgrove	59904
Milloo	61724
Milltown	55224
Milnes Bridge	37648
Mincha	46748
Mincha West	110500
Miners Rest	94224
Mingay	88816
Minhamite	81224
Minimay	80184
Mininera	58500
Minjah	71500
Minmindie	
Minyip	53196
Miowera	
Miralie	
Miram	129948
Mirboo	73632
Mirboo North	69056
Mirranatwa	90948
Mitcham (Vic.)	106496
Mitchell Park (Vic.)	78416
Mitchellstown	142948
Mitiamo	55692
Mitre	70200
Mitta Mitta	54600
Mittyack	
Mockinya	143000
Modella	85748
Modewarre	105196
Moe	57564
Moe South	106756
Moggs Creek	97500
Moglonemby	97500
Mokepilly	
Molesworth (Vic.)	55224
Moliagul	47632
Molka	58500
Mollongghip	100724
Mologa	44200
Molyullah	69316
Monbulk	81432
Monegeetta	94588
Mongans Bridge	87724
Monomak	
Monomeith	80132
Mont Albert	136292
Mont Albert North	119912
Montgomery	71500
Montmorency	109824
Montrose (Vic.)	101712
Moolap	68068
Moolerr	84500
Moolort	50232
Moonambel	56316
Moondarra	56316
Moonee Ponds	126048
Moonlight Flat (Central Goldfields - Vic.)	77948
Moonlight Flat (Mount Alexander - Vic.)	87724
Moora (Vic.)	61724
Moorabbin	99112
Moorabbin Airport	
Moorabool	68224
Mooralla	87724
Moorilim	112632
Moormbool West	97500
Moornapa	
Moorngag	71500
Moorooduc	109408
Mooroolbark	93184
Mooroopna	67444
Mooroopna North	66612
Mooroopna North West	71500
Moranding	113724
Mordialloc	115856
Morgiana	84500
Moriac	106496
Mornington (Vic.)	82368
Moroka	
Morrisons	71500
Morrl Morrl	
Mortlake (Vic.)	60008
Morton Plains	
Morwell	56784
Mossiface	67132
Mount Alfred	93184
Mount Beauty	61828
Mount Beckworth	
Mount Best	
Mount Bolton	71448
Mount Bruno	71500
Mount Buffalo	
Mount Buller	136500
Mount Burnett	105612
Mount Bute	49348
Mount Camel	92612
Mount Cameron	
Mount Clear	80496
Mount Cole	39624
Mount Cole Creek	
Mount Cottrell	65988
Mount Dandenong	99996
Mount Doran	50232
Mount Dryden	
Mount Duneed	108940
Mount Eccles	55224
Mount Egerton	92924
Mount Eliza	122356
Mount Emu	68224
Mount Evelyn	96824
Mount Franklin	71500
Mount Glasgow	71500
Mount Helen	103168
Mount Hooghly	
Mount Lonarch	46800
Mount Macedon	124696
Mount Major	110448
Mount Martha	105872
Mount Mercer	81224
Mount Moriac	97500
Mount Napier	
Mount Pleasant (Vic.)	67756
Mount Prospect	117000
Mount Richmond	87724
Mount Rowan	71500
Mount Sabine	
Mount Tassie	
Mount Taylor	78884
Mount Toolebewong	84448
Mount Wallace	71500
Mount Waverley	100724
Mountain Bay	38948
Mountain View (Vic.)	95316
Moutajup	62816
Moyhu	63648
Moyreisk	56316
Moyston	65520
Muckatah	84500
Muckleford	74360
Muckleford South	58500
Mudgegonga	84500
Mulgrave (Vic.)	90064
Mumbannar	107224
Mundoona	94224
Munro	80132
Muntham	39624
Murchison (Vic.)	58500
Murchison East	69316
Murchison North	70200
Murgheboluc	93132
Murmungee	61724
Murnungin	
Murphys Creek (Vic.)	55224
Murra Warra	84500
Murrabit	56316
Murrabit West	74724
Murrawee	84500
Murray-Sunset	
Murraydale	80132
Murrayville	70668
Murrindal	
Murrindindi	54132
Murroon	81224
Murrumbeena	114088
Murtoa	60580
Musk	80184
Musk Vale	84500
Muskerry	67600
Myall (Buloke - Vic.)	55848
Myall (Gannawarra - Vic.)	67132
Myamyn	71500
Myers Flat	68536
Myola (Vic.)	55224
Myrniong	101504
Myrrhee	69316
Myrtle Creek (Vic.)	110500
Myrtlebank	111800
Myrtleford	63440
Mysia	71500
Mystic Park	65832
Mywee	117000
Nagambie	70928
Nalangil	62816
Nalinga	112632
Nambrok	74724
Nandaly	44148
Nangana	110448
Nangeela	71448
Nangiloc	53612
Nanneella	91988
Nap Nap Marra	
Napoleons	91624
Nar Nar Goon	89648
Nar Nar Goon North	101816
Narbethong (Vic.)	75816
Nareeb	71500
Nareen	84500
Nareewillock	
Nariel Valley	43316
Naring	76336
Naringal	92300
Naringal East	84500
Naroghid	108316
Narracan	58500
Narraport	136448
Narrapumelap South	168948
Narrawong	91624
Narre Warren	82108
Narre Warren East	112268
Narre Warren North	111592
Narre Warren South	93600
Narrung (Vic.)	
Nathalia	67392
Natimuk	73944
Natte Yallock	56316
Natya	94224
Navarre	38948
Navigators	80184
Nayook	58500
Neds Corner	
Neereman	71500
Neerim	82836
Neerim East	96564
Neerim Junction	68224
Neerim North	62816
Neerim South	73060
Neilborough	71500
Nelse	
Nelson (Vic.)	57668
Nerrena	92924
Nerrin Nerrin	101816
Nerrina	123864
Nerring	97500
Netherby (Vic.)	71500
Neuarpurr	84500
New Gisborne	105456
Newborough	66664
Newbridge (Vic.)	73112
Newbury	71500
Newcomb	60476
Newfield	71500
Newham	98748
Newhaven	71500
Newington (Vic.)	96460
Newlands Arm	56836
Newlyn	84500
Newlyn North	59904
Newmerella	59748
Newport (Vic.)	132184
Newry	77376
Newstead (Vic.)	57772
Newtown (Golden Plains - Vic.)	42640
Newtown (Greater Geelong - Vic.)	117780
Nhill	68068
Nichols Point	94016
Nicholson (Vic.)	68016
Niddrie	114296
Nilma	77324
Nilma North	80600
Ninda	
Nine Mile (Vic.)	37700
Nintingbool	105144
Ninyeunook	73632
Nirranda	90948
Nirranda East	
Nirranda South	117000
Noble Park	62920
Noble Park North	70304
Noojee	45760
Noorat	84500
Noorat East	143000
Noorinbee	71500
Noorinbee North	37700
Noradjuha	94224
Norlane	46644
Normanville (Vic.)	58500
Norong	99112
North Bendigo	66248
North Blackwood	116948
North Geelong	71708
North Melbourne	101036
North Shore (Vic.)	72176
North Wangaratta	87048
North Warrandyte	127868
North Wonthaggi	58916
Northcote	125684
Northwood (Vic.)	68900
Norval	117000
Notting Hill	72228
Nowa Nowa	58500
Nowhere Creek	55848
Nowie	
Nug Nug	74724
Nuggetty	60112
Nulla Vale	97500
Nullawarre	84500
Nullawarre North	94224
Nullawil	49348
Numurkah	65520
Nunawading	98124
Nungurner	64324
Nunniong	
Nurcoung	58500
Nurrabiel	92040
Nurran	
Nutfield	99632
Nyah	70616
Nyah West	46800
Nyarrin	103948
Nyerimilang	
Nyora (Vic.)	77636
Nyrraby	84448
Oak Park	105196
Oaklands Junction	118820
Oakleigh	101920
Oakleigh East	90584
Oakleigh South	90272
Oakvale	94224
Ocean Grange	
Ocean Grove	92664
Officer	101972
Officer South	63336
Old Tallangatta	84500
Olinda (Vic.)	97656
Ombersley	87724
Omeo	59696
Omeo Valley	
Ondit	62816
Orbost	49660
Orford (Vic.)	88348
Ormond	114088
Orrvale	79872
Osbornes Flat	114816
Outtrim	79248
Ouyen	65936
Ovens	66092
Oxley (Vic.)	92456
Oxley Flats	108316
Ozenkadnook	143000
Paaratte	64948
Painswick	
Pakenham	79924
Pakenham South	85748
Pakenham Upper	113412
Panitya (Vic.)	73112
Panmure	81016
Panton Hill	117312
Paradise (Vic.)	71500
Paradise Beach	40352
Paraparap	74724
Park Orchards	149396
Parkdale	116688
Parkville (Vic.)	114140
Parwan	85748
Paschendale	81224
Pascoe Vale	97604
Pascoe Vale South	111956
Pastoria	138632
Pastoria East	68224
Patchewollock	59748
Patho	78884
Patterson Lakes	106288
Patyah	75816
Paynesville (Vic.)	57772
Pearcedale	86840
Pearsondale	79612
Peechelba	74048
Peechelba East	74724
Pelluebla	71448
Pennyroyal	106600
Penshurst (Vic.)	68536
Pental Island	76648
Pentland Hills	89856
Percydale	58500
Peronne	55224
Perry Bridge	66612
Peterborough (Vic.)	64012
Petticoat Creek	
Pheasant Creek (Vic.)	108888
Piangil	63856
Picola	60892
Picola West	
Piedmont	84448
Pier Milan	
Pigeon Ponds	117000
Piggoreet	53248
Pimpinio	61724
Pine Grove (Vic.)	84448
Pine Lodge (Vic.)	99632
Pine Mountain (Vic.)	71500
Pine View	
Pioneer Bay	46800
Pipers Creek	106860
Pira	
Piries	73112
Pirron Yallock	56316
Pitfield	49348
Pittong	116948
Plenty (Vic.)	140088
Plumpton (Vic.)	106080
Point Cook	108680
Point Leo	101816
Point Lonsdale	85176
Point Wilson	
Polisbet	
Pomborneit	68224
Pomborneit East	44200
Pomborneit North	58500
Pomonal	59852
Pompapiel	74724
Poolaijelo	71500
Pootilla	95316
Poowong	69316
Poowong East	48516
Poowong North	79092
Porcupine Ridge	63336
Porepunkah	69316
Port Albert	53612
Port Campbell	101816
Port Fairy	73996
Port Franklin	53872
Port Melbourne	148252
Port Welshpool	67132
Portarlington	61724
Portland (Vic.)	67808
Portland North	92612
Portland West	96928
Portsea	117676
Pound Creek	72540
Powelltown	56732
Powers Creek	
Powlett Plains	56524
Prahran	134212
Prairie (Vic.)	68224
Pranjip	97448
Preston (Vic.)	91728
Princes Hill	126152
Princetown	53612
Puckapunyal	110344
Pura Pura	110500
Purdeet	
Purnim	76856
Purnim West	71500
Pyalong	76180
Pyramid Hill	61984
Quambatook	53612
Quandong	
Quantong	91832
Quarry Hill	92716
Queenscliff (Vic.)	77740
Raglan (Vic.)	49712
Rainbow	61724
