SSC_NAME16	medianTotalPersonalIncome
Eastlakes	25740
Eastwood (NSW)	30368
Eatonsville	20228
Ebenezer (NSW)	35776
Ebor	23400
Eccleston	16900
Edderton	
Eden	25272
Eden Creek	24596
Edensor Park	25376
Edenville	22256
Edgecliff	70980
Edgeroi	45812
Edgeworth	28392
Edith (NSW)	37700
Edmondson Park	42640
Edrom	
Eenaweena	31824
Eglinton (NSW)	37180
Eighteen Mile	
Elands	20956
Elanora Heights	44460
Elcombe	18668
Elderslie (Camden - NSW)	43160
Elderslie (Singleton - NSW)	41132
Eleebana	40248
Elermore Vale	32188
Elizabeth Bay	75296
Elizabeth Beach	33384
Elizabeth Hills	39468
Ellalong	29380
Elland	32864
Ellangowan (NSW)	21580
Ellenborough	23036
Ellerslie (Snowy Valleys - NSW)	52936
Ellerslie (Wentworth - NSW)	27924
Ellerston	40560
Ellis Lane	43784
Elong Elong	24544
Elrington	49348
Elsmore	10608
Eltham (NSW)	33540
Elvina Bay	38948
Emerald Beach	33696
Emerald Hill	43316
Emerton	25168
Emmaville	23296
Empire Bay	32604
Empire Vale	25740
Emu Heights (NSW)	42016
Emu Plains	37388
Emu Swamp	50648
Endrick	
Enfield (NSW)	33280
Engadine	41756
Englorie Park	36400
Enmore (Armidale Regional - NSW)	35724
Enmore (Inner West - NSW)	53872
Enngonia	21008
Environa	
Epping (NSW)	37024
Eraring	34112
Eremerang	45500
Erigolia	37700
Erin Vale	39624
Erina	28340
Erina Heights	35308
Ermington	33644
Erowal Bay	27612
Errowanbang	44148
Erskine Park	40612
Erskineville	71812
Erudgere	30316
Eschol Park	38532
Esk (NSW)	
Essington	37700
Estella	36660
Ettalong Beach	25792
Ettamogah	35724
Ettrema	
Ettrick (NSW)	22256
Euabalong	24388
Euabalong West	22048
Euberta	43316
Euchareena	28704
Eucumbene	29900
Eugowra	29432
Eulah Creek	35100
Eumungerie	27820
Eunanoreenya	44928
Eungai Creek	23192
Eungai Rail	20904
Eungella (NSW)	23400
Eureka (NSW)	33280
Eurimbla	28600
Eurobodalla	30628
Euroka	31148
Euroley	39624
Eurongilly	43680
Eurunderee	43836
Euston	34892
Evans Head	26208
Evans Plains	41964
Eveleigh	43888
Eviron	31044
Ewingar	21164
Ewingsdale	36348
Exeter (NSW)	35672
Failford	23816
Fairfield (NSW)	20592
Fairfield East	21008
Fairfield Heights	20696
Fairfield West	22620
Fairholme	53872
Fairlight	65000
Fairy Hill	26884
Fairy Meadow	25844
Falbrook	31824
Falconer	43316
Falls Creek (NSW)	28704
Far Meadow	33176
Fargunyah	36400
Farley	33228
Farmborough Heights	35568
Farnham	22048
Farrants Hill	36452
Farringdon	46748
Fassifern (NSW)	29952
Faulconbridge	41184
Faulkland	26936
Fawcetts Plain	31980
Federal (NSW)	32240
Fennell Bay	28184
Fern Bay	28288
Fern Gully	35100
Fernances	32448
Fernances Crossing	37700
Fernbank Creek	30524
Fernbrook	32864
Fernhill	24492
Fernleigh	33176
Fernmount	32136
Fernside	32760
Fernvale (NSW)	26208
Ferodale	34788
Fiddletown	41860
Fifield	30732
Figtree	33540
Findon Creek	16900
Fine Flower	24908
Fingal Bay	25896
Fingal Head	33020
Finley	28340
Firefly	24752
Fishermans Bay	30628
Fishermans Paradise	23816
Fishermans Reach	21372
Fishers Hill	35724
Fishing Point	31512
Fitzgeralds Mount	25428
Fitzgeralds Valley	80184
Fitzroy Falls	34528
Five Dock	45552
Five Ways	20332
Flat Tops	66040
Fletcher (NSW)	44876
Flinders (NSW)	36400
Floraville	36816
Forbes (NSW)	28704
Forbes Creek	60632
Forbes River	16900
Forbesdale	26312
Fords Bridge	23400
Fordwich	29900
Forest Glen (NSW)	38948
Forest Grove (NSW)	46800
Forest Hill (NSW)	40612
Forest Land	
Forest Lodge	55276
Forest Reefs	40716
Forestville (NSW)	39884
Forresters Beach	35932
Forster (NSW)	25324
Fortis Creek	21840
Fosters Valley	34372
Fosterton	29328
Fountaindale	40872
Four Corners	
Four Mile Creek (NSW)	39624
Fowlers Gap	53612
Foxground	34788
Frazer Park	
Frazers Creek	28132
Frederickton	25116
Freeburn Island	
Freemans	
Freemans Reach	39052
Freemans Waterhole	21944
Freemantle	44148
French Park	40248
Frenchs Forest	44876
Freshwater (NSW)	57044
Frog Rock	23608
Frogmore	29328
Frogs Hollow	22100
Frying Pan	22048
Fullerton	24960
Fullerton Cove	26104
Furracabad	48516
Gadara	40768
Gala Vale	55224
Galambine	39988
Galong	25792
Galore	29120
Galston	38012
Ganbenang	39624
Gangat	24232
Ganmain	25740
Garah	36036
Garden Suburb	39520
Garema	30524
Garland	37700
Garland Valley	22100
Garoo	41236
Garra	25636
Garthowen	32968
Gateshead	24804
Gearys Flat	
Geehi	
Gelston Park	39832
Gemalla	29900
Geneva	25532
Georges Creek (NSW)	24232
Georges Hall	29640
Georges Plains	40820
Georgetown (NSW)	35880
Georgica	23608
Gerogery	36244
Gerringong	35880
Gerroa	35308
Geurie	35256
Ghinni Ghi	28912
Ghinni Ghinni	22360
Ghoolendaadi	30628
Giants Creek	23868
Gibberagee	21684
Gibraltar Range	
Gidginbung	37024
Gidley	42900
Gilead	23036
Gilgai	23764
Gilgandra	26468
Gilgooma	36712
Gilgunnia	
Gillenbah	37180
Gilletts Ridge	37180
Gillieston Heights	39884
Gilmandyke	35100
Gilmore (NSW)	43836
Gin Gin (NSW)	51324
Gineroi	24648
Ginghi	23348
Gingkin	35724
Girards Hill	27716
Girilambone	35048
Giro	
Girral	43316
Girralong	20384
Girraween (NSW)	35152
Girvan	24752
Gladesville	48568
Gladstone (NSW)	24284
Glanmire (NSW)	34788
Glebe (NSW)	43368
Gledswood Hills	14248
Glen Alice	27560
Glen Allen	46800
Glen Alpine	41912
Glen Davis	21424
Glen Elgin	27248
Glen Fergus	55432
Glen Innes	25012
Glen Martin	30420
Glen Nevis	
Glen Oak	31928
Glen Ward	13624
Glen William	35412
Glenbawn	46800
Glenbrook	43992
Glencoe (NSW)	24856
Glendale (NSW)	29744
Glendenning	37960
Glendon	34424
Glendon Brook	30056
Glenelg (NSW)	46748
Glenellen	38948
Glenfield (NSW)	37024
Glenfield Park	37336
Glengarrie	21008
Glenhaven	41444
Gleniffer	29224
Glenmore (NSW)	36036
Glenmore Park	45916
Glennies Creek	32968
Glenning Valley	38116
Glenorie	37596
Glenquarry	39624
Glenreagh	23816
Glenridding	24700
Glenrock (NSW)	42588
Glenroy (Albury - NSW)	34944
Glenroy (Snowy Valleys - NSW)	39624
Glenthorne	24440
Glenugie	24336
Glenwood (NSW)	40820
Glenworth Valley	18148
Glossodia	41704
Gloucester	25272
Gloucester Tops	
Goat Island	
Gobarralong	46800
Gobbagombalin	50232
Gocup	39208
Godfreys Creek	43680
Gogeldrie	39624
Gol Gol	38220
Gollan	35932
Golspie	38792
Gongolgon	22724
Gonn	29900
Goobarragandra	32448
Good Forest	26988
Good Hope	40768
Goodnight	27924
Goodooga	19916
Goodwood Island	22308
Googong	64168
Goolgowi	35204
Goolhi	33124
Goolma	25740
Goolmangar	32136
Gooloogong	24128
Goombargana	38324
Goonellabah	29952
Goonengerry	25428
Goonoo Forest	37648
Goonoo Goonoo	32968
Goonumbla	35204
Goorangoola	32968
Goorianawa	31824
Gordon (NSW)	44564
Gorge Creek	10400
Gormans Hill	28600
Gorokan	26468
Gosford	37388
Gosforth	30368
Gostwyck	55224
Goulburn	32500
Gouldsville	27924
Gowan	34528
Gowang	27924
Gowrie (Singleton - NSW)	39728
Gowrie (Tamworth Regional - NSW)	47632
Grabben Gullen	30680
Gradys Creek	26988
Grafton	27924
Gragin	
Grahamstown	25636
Graman	27924
Grants Beach	
Granville (NSW)	26208
Grasmere	36244
Grassy Head	33176
Grattai	28964
Gravesend	30056
Grays Point	47268
Great Mackerel Beach	23400
Great Marlow	32344
Green Cape	
Green Creek	18200
Green Forest	37700
Green Gully (NSW)	34788
Green Hills (Armidale Regional - NSW)	30836
Green Hills (Snowy Valleys - NSW)	
Green Pigeon	22464
Green Point (Central Coast - NSW)	31824
Green Point (Gosford - NSW)	24960
Green Point (Mid-Coast - NSW)	24804
Green Valley (NSW)	26312
Greenacre	22672
Greendale (Bega Valley - NSW)	30420
Greendale (Liverpool - NSW)	37440
Greenethorpe	27196
Greenfield Park	23192
Greengrove	38948
Greenhill (NSW)	22516
Greenhills Beach	59592
Greenlands (Singleton - NSW)	25740
Greenlands (Snowy Monaro Regional - NSW)	27300
Greenleigh	54236
Greenridge	31616
Greenwell Point	25428
Greenwich	62660
Greenwich Park	23712
Greg Greg	55224
Gregadoo	34840
Gregory Hills	51116
Greigs Flat	30680
Grenfell	24804
Gresford	30576
Greta (NSW)	31096
Greta Main	35724
Grevillia	24804
Greystanes	33800
Griffith (NSW)	34840
Grogan	53768
Grong Grong	35204
Grose Vale	39156
Grose Wold	38376
Grosses Plain	58448
Growee	29900
Guerilla Bay	42432
Guildford (NSW)	23140
Guildford West	27924
Gulargambone	23140
Gulf Creek	12064
Gulgong	27196
Gulmarrad	23452
Gum Flat	30212
Gum Scrub	40092
Gumbalie	29900
Gumble	45500
Gumly Gumly	29484
Gumma	23556
Gunbar	32968
Gundagai	28184
Gundamulda	14248
Gundaroo	61256
Gundary	33956
Gunderbooka	14248
Gunderman	32604
Gundy	34112
Gungal	22204
Gungalman	48516
Gunnedah	32240
Gunning	39728
Gunning Gap	39312
Gunningbland	28600
Gunningrah	
Gurley	36920
Gurnang	
Gurranang	21528
Gurrundah	23868
Guyong	42172
Guyra	27768
Gwabegar	21684
Gwandalan	28600
Gwynneville	20436
Gymea	42900
Gymea Bay	44460
Haberfield	41652
Hacks Ferry	55224
Halekulani	24752
Halfway Creek	22100
Hallidays Point	27196
Halloran	24648
Halls Creek (NSW)	28132
Hallsville	34580
Halton	27924
Hambledon Hill	46748
Hamilton (NSW)	36296
Hamilton East	40768
Hamilton North	40352
Hamilton South	30628
Hamilton Valley	36608
Hamlyn Terrace	29952
Hammondville	32292
Hampden Hall	32760
Hampton (NSW)	35100
Hanging Rock	22568
Hanleys Creek	
Hannam Vale	27924
Hanwood	33488
Harden	25012
Hardys Bay	35828
Harefield	47268
Hargraves	18408
Harolds Cross	68224
Harparary	39624
Harpers Hill	32188
Harrington	22828
Harrington Park	44668
Harris Park	31720
Hartley (NSW)	38740
Hartley Vale	40560
Hartwood	29848
Hartys Plains	27924
Harwood	23036
Hassall Grove	35360
Hassans Walls	
Hastings Point	23504
Hat Head	24492
Hatfield	61724
Havilah (NSW)	42848
Hawkesbury Heights	45552
Hawks Nest	26052
Hay (NSW)	28912
Hay South	36608
Hayes Gap	37700
Haymarket	24076
Haystack	36348
Hayters Hill	40768
Haywards Bay	41028
Hazelbrook	35256
Hazelgrove	30992
Heathcote (NSW)	39676
Heatherbrae	25116
Hebden	74724
Hebersham	25636
Heckenberg	22152
Heddon Greta	35256
Heifer Station	39624
Helensburgh	43004
Henley	57928
Henty (NSW)	25688
Hereford Hall	31824
Hermidale	32084
Hermitage Flat	23868
Hernani	38948
Herons Creek	30420
Hexham (NSW)	22724
Hickeys Creek	20956
High Range	41756
Higher Macdonald	20748
Highfields (NSW)	42068
Hill End (NSW)	23192
Hill Top (Snowy Monaro Regional - NSW)	46020
Hill Top (Wingecarribee - NSW)	35256
Hilldale	29432
Hillgrove (Armidale Regional - NSW)	28756
Hillgrove (Wagga Wagga - NSW)	29900
Hillsborough (Lake Macquarie - NSW)	34684
Hillsborough (Maitland - NSW)	37700
Hillsdale	34736
Hillston	34112
Hillville	24128
Hillvue	37180
Hinchinbrook (NSW)	30732
Hinton	37908
Hobartville (NSW)	34632
Hobbys Yards	43316
Hogarth Range	26936
Holbrook	29224
Holgate	43524
Hollisdale	21840
Hollydeen	46020
Holmesville	29276
Holroyd	40040
Holsworthy	47320
Holts Flat	
Home Rule	40248
Homebush (NSW)	37908
Homebush West	35412
Homeleigh	24960
Honeybugle	19916
Hopefield	39624
Hopkins Creek	26416
Horningsea Park	35880
Hornsby	38792
Hornsby Heights	43576
Horse Station Creek	25740
Horseshoe Bend	25272
Horseshoe Creek	35412
Horsfield Bay	38064
Horsley	36348
Horsley Park	32604
Hoskinstown	48932
Hovells Creek	29848
Howards Grass	24908
Howell	22100
Howes Valley	23036
Howick (NSW)	
Howlong	27768
Hoxton Park	30628
Humula	26312
Hungerford (NSW)	37700
Hunters Hill	48828
Hunterview	44772
Huntingdon	29120
Huntingwood	
Huntley (Orange - NSW)	41860
Huntley (Wollongong - NSW)	38532
Huntleys Cove	56940
Huntleys Point	56940
Huonbrook	23972
Hurlstone Park	39624
Hurstville	25116
Hurstville Grove	37180
Huskisson	28496
Hyams Beach	33488
Hyland Park	29432
Hyndmans Creek	27300
Ilarwill	27872
Ilford	26208
Illabo	28132
Illaroo	39988
Illawong	44096
Iluka (NSW)	22204
Indi	42640
Ingebirah	36400
Ingleburn	33124
Ingleside	42016
Innes View	21424
Inverell	28184
Invergordon (NSW)	21424
Invergowrie	34580
Iron Pot Creek	28912
Ironbark (NSW)	19032
Ironmungy	10400
Irvington	27456
Irymple (NSW)	29848
Isabella	24388
Islington	39676
Ivanhoe (NSW)	39468
Jackadgery	28340
Jacks Creek	28444
Jacksons Flat	28912
Jacky Bulbin Flat	17524
Jagumba	
Jagungal Wilderness	
Jamberoo	36712
James Creek	23400
Jamisontown	38168
Jannali	40560
Jaspers Brush	39468
Jaunter	19448
Jeir	59592
Jellat Jellat	36140
Jemalong	35100
Jembaicumbene	32760
Jennings	21788
Jenolan	55224
Jeogla	27924
Jerangle	42432
Jeremadra	28496
Jeremy	
Jerilderie	31356
Jerrabattgulla	24232
Jerrabomberra	63492
Jerrara	42172
Jerrawa	30472
Jerrawangala	42588
Jerrong	24648
Jerrys Plains	39676
Jerseyville	23712
Jesmond	20696
Jewells	34320
Jews Lagoon	
Jiggi	27716
Jilliby	37024
Jimenbuen	23348
Jincumbilly	
Jindabyne	40612
Jinden	14560
Jindera	36400
Jingellic	34424
Jingera	32448
Joadja	46800
Joes Box	31824
Johns River	24336
Jolly Nose	
Jones Bridge	46800
Jones Creek	37700
Jones Island	20332
Jordan Springs	50076
Judds Creek	46800
Jugiong	33436
Junction Hill	29432
Junee	29900
Junee Reefs	42432
Kahibah	37544
Kains Flat	20644
Kalang	22204
Kalaru	34996
Kalkite	38792
Kamarah	27300
Kameruka	26988
Kanahooka	27664
Kanangra	
Kandos	21840
Kangaloon	43680
Kangaroo Creek	22984
Kangaroo Point (NSW)	59852
Kangaroo Valley	31044
Kangaroobie	44200
Kangiara	50232
Kangy Angy	28496
Kanimbla (NSW)	35256
Kanoona	34216
Kanwal	25116
Kapooka	40508
Kaputar	
Karaak Flat	22516
Karabar	42224
Karangi	31148
Kareela	41132
Kariong	36556
Kars Springs	29900
Karuah	23816
Katoomba	28860
Kayuga	33124
Kearns	40092
Kearsley	27664
Keepit	46800
Keera	36400
Keerrong	28132
Keinbah	32292
Keiraville	23972
Keith Hall	29536
Kellys Plains	40040
Kellyville	46228
Kellyville Ridge	51532
Kelso (NSW)	34476
Kelvin	35724
Kembla Grange	34944
Kembla Heights	34216
Kemps Creek	30576
Kempsey	23244
Kendall	25584
Kenebri	28600
Kennaicle Creek	27248
Kensington (NSW)	26728
Kenthurst	41496
Kentlyn	36296
Kentucky	37180
Kentucky South	26364
Kerewong	19448
Keri Keri	46800
Kerrabee	23400
Kerrigundi	37648
Kerrs Creek	29328
Kew (NSW)	24804
Keybarbin	
Khancoban	25480
Khatambuhl	
Kia Ora (NSW)	32708
Kiacatoo	31148
Kiah	21996
Kiama	33852
Kiama Downs	37232
Kiama Heights	33228
Kianga (NSW)	24908
Kiar	35724
Kickabil	29120
Kielvale	30524
Kikiamah	28236
Kikoira	36036
Kilaben Bay	37544
Kilgin	19448
Kilgra	19968
Killabakh	25376
Killara (NSW)	49452
Killarney Heights	43836
Killarney Vale	30108
Killawarra (NSW)	29016
Killcare	38584
Killcare Heights	40716
Killiekrankie	
Killimicat	53092
Killingworth (NSW)	35360
Killongbutta	37700
Kimbriki	24908
Kinchela	26156
Kincumber	29432
Kincumber South	23972
Kindee	27924
Kindervale	48932
King Creek	32552
Kingfisher Shores	32864
Kinghorne	
Kings Forest	38324
Kings Langley	42900
Kings Park (NSW)	43420
Kings Plains (Blayney - NSW)	35516
Kings Plains (Inverell - NSW)	22516
Kings Point	28288
Kingscliff	32656
Kingsdale	46176
Kingsford (NSW)	24908
Kingsgate	11700
Kingsgrove	30576
Kingsland	32760
Kingstown	25636
Kingsvale	29380
Kingswood (Bega Valley - NSW)	53248
Kingswood (Penrith - NSW)	33228
Kingswood (Tamworth Regional - NSW)	38584
Kioloa	24336
Kiora	31408
Kippara	
Kippaxs	29900
Kippenduff	18200
Kirkconnell	25116
Kirkham	48256
Kirrawee	39052
Kirribilli	74048
Kitchener	24024
Kiwarrak	
Klori	27924
Knights Hill	27924
Knockrow	28808
Knorrit Flat	22880
Knorrit Forest	
Kogarah	34996
Kogarah Bay	36504
Kooba	30368
Kookabookra	35100
Koolewong	35828
Koolkhan	34788
Koonawarra	23920
Koonorigan	31408
Koonyum Range	44200
Kooragang	
Koorainghat	26208
Koorawatha	23764
Kooringal (NSW)	34580
Kootingal	33644
Koraleigh	21736
Koreelah	23712
Korora	35204
Kosciuszko	
Kosciuszko National Park	47892
Kotara	37544
Kotara South	35308
Krambach	24284
Krawarree	28600
Kremnos	23244
Ku-Ring-Gai Chase	42224
Kulnura	34788
Kulwin (NSW)	44200
Kunama	26624
Kundabung	27144
Kundibakh	21216
Kundle Kundle	27196
Kungala	24180
Kunghur	23556
Kunghur Creek	22620
Kurmond	38324
Kurnell	39364
Kurraba Point	81744
Kurrajong	41912
Kurrajong Heights	41132
Kurrajong Hills	47320
Kurri Kurri	25792
Kyalite	28912
Kyarran	18200
Kybeyan	22100
Kyeamba	37700
Kyeemagh	34528
Kyle Bay	47528
Kynnumboon	31616
Kyogle	24180
La Perouse	33124
Lacmalac	40092
Lade Vale	50544
Ladysmith	36920
Laffing Waters	46020
Laggan	32656
Lagoon Grass	23972
Laguna	25636
Lake Albert (NSW)	38376
Lake Bathurst	26364
Lake Brewster	71500
Lake Burrendong	
Lake Cargelligo	27196
Lake Cathie	25480
Lake Conjola	23088
Lake Cowal	32760
Lake George	62504
Lake Haven	25272
Lake Heights	25376
Lake Hume Village	32084
Lake Illawarra	25584
Lake Innes	34424
Lake Macquarie	
Lake Munmorah	27092
Lake Tabourie	23816
Lake Wyangan	39624
Lakelands (NSW)	39936
Lakemba	22204
Lakesland	35256
Lakewood	23556
Lalalty	30316
Lalor Park	31200
Lambs Valley (Glen Innes Severn - NSW)	31824
Lambs Valley (Singleton - NSW)	33488
Lambton	36036
Landervale	67184
Lane Cove	58084
Lane Cove North	57408
Lane Cove West	56992
Langley Vale	22256
Lanitza	22568
Lankeys Creek	30992
Lansdowne (Canterbury-Bankstown - NSW)	27924
Lansdowne (Mid-Coast - NSW)	22360
Lansdowne Forest	19448
Lansvale	25376
Lapstone	43524
Larbert	36400
Largs	38220
Larnook	23972
Larras Lee	36712
Laughtondale	44200
Laurel Hill	23400
Laurieton	23244
Lavadia	29848
Lavender Bay	72540
Laverstock	35724
Lavington	28080
Lawrence (NSW)	23140
Lawson (NSW)	33072
Leadville	26988
Leconfield	40924
Lee Creek	
Leeton	33436
Leets Vale	26936
Leeville	25168
Legume	21216
Leichhardt (NSW)	56784
Lemington	33748
Lemon Tree	32188
Lemon Tree Passage	25012
Len Waters Estate	
Lenaghan	36400
Lennox Head	37648
Leonay	46852
Leppington	35516
Lerida	50232
Lethbridge Park	24596
Leumeah	32292
Leura	30368
Levenstrath	31148
Lewinsbrook	27248
Lewis Ponds	36556
Lewisham (NSW)	48204
Leycester	25740
Liberty Grove	47944
Lidcombe	27248
Liddell	
Lidsdale	31824
Lidster	56004
Lightning Ridge	22568
Lilli Pilli (Eurobodalla - NSW)	31148
Lilli Pilli (Sutherland Shire - NSW)	51636
Lillian Rock	21840
Lilydale (NSW)	24648
Lilyfield	58916
Lilyvale (NSW)	11700
Limbri	22984
Limeburners Creek (Mid-Coast - NSW)	26728
Limeburners Creek (Port Macquarie-Hastings - NSW)	37648
Limekilns	30836
Limerick	24388
Limestone (NSW)	
Limpinwood	24908
Linburn	25272
Linden (NSW)	42848
Lindendale	37856
Lindesay	19448
Lindesay Creek	23348
Lindfield	51064
Lindifferon	32448
Linley Point	68588
Lionsville	87724
Lisarow	35152
Lismore (NSW)	25220
Lismore Heights	34060
Liston	23660
Lithgow	25740
Little Back Creek	27560
Little Bay	48360
Little Billabong	42640
Little Forest	26884
Little Hartley	35204
Little Jacks Creek	44200
Little Jilliby	27560
Little Pelican	
Little Plain	32760
Little River (NSW)	48048
Little Topar	29900
Little Wobby	37700
Littleton	29536
Liverpool	24232
Llanarth (NSW)	43108
Llandilo	35100
Llangothlin	31044
Lloyd	47944
Loadstone	22256
Lochiel (NSW)	30576
Lochinvar	31772
Lockhart	28340
Locksley (NSW)	35724
Loftus	40456
Loftville	23764
Logans Crossing	30316
Logie Brae	29848
Londonderry (NSW)	36088
Long Beach	31252
Long Flat (NSW)	23816
Long Jetty	28288
Long Plain (Inverell - NSW)	37700
Long Plain (Snowy Monaro Regional - NSW)	
Long Point (Campbelltown - NSW)	33540
Long Point (Singleton - NSW)	35100
Longarm	25324
Longreach (NSW)	37024
Longueville	72904
Loomberah	40352
Lord Howe Island	39624
Lords Hill	35724
Lorn	37388
Lorne (NSW)	27508
Lost River	32188
Lostock	22360
Louisa Creek	16900
Louth	42900
Louth Park	42952
Lovedale	39364
Lovett Bay	56836
Lowanna	23608
Lower Acacia Creek	26780
Lower Bago	11700
Lower Belford	38012
Lower Boro	25584
Lower Bottle Creek	23348
Lower Creek	14144
Lower Duck Creek	37700
Lower Dyraaba	22048
Lower Lewis Ponds	26988
Lower Macdonald	34788
Lower Mangrove	36400
Lower Pappinbarra	27404
Lower Peacock	16848
Lower Portland	40040
Lower Southgate	29900
Lowesdale	34736
Lowther	25584
Loxford	35100
Lucas Heights	
Lucknow (NSW)	37492
Luddenham	42276
Lue	26208
Lugarno	40768
Lurnea	22724
Luskintyre	35100
Lynchs Creek	26364
Lyndhurst (Armidale Regional - NSW)	35724
Lyndhurst (Blayney - NSW)	28912
Lynwood (NSW)	28080
Mabins Well	48516
Macdonalds Creek	38948
Macksville	25064
Maclean	23660
Macmasters Beach	37440
Macquarie Fields	26936
Macquarie Hills	40872
Macquarie Links	47372
Macquarie Marshes	
Macquarie Park	34216
Macquarie Pass	
Maddens Plains	
Maffra (NSW)	37700
Magenta (NSW)	46072
Magometon	37700
Maianbar	46488
Maimuru	34060
Main Arm	26780
Main Creek	25688
Mairjimmy	29224
Maison Dieu	27924
Maitland (NSW)	27924
Maitland Bar	24232
Maitland Vale	56524
Majors Creek (NSW)	28496
Malabar	36088
Maldon (NSW)	29900
Mallabula	26780
Mallan	42432
Mallanganee	22932
Mallee	29900
Mallowa	46800
Maloneys Beach	24076
Malua Bay	30576
Manar	38220
Manchester Square	68224
Mandagery	32760
Mandalong	30836
Mandemar	47528
Mandurama	26988
Mangerton	38792
Mangoola	27560
Mangoplah	28704
Mangrove Creek	14560
Mangrove Mountain	35776
Manildra	30732
Manilla	23712
Manly (NSW)	66560
Manly Vale	48620
Mannering Park	28964
Manning Point	23504
Mannus	42848
Manobalai	27664
Manton (NSW)	43732
Manyana	25220
Maragle	36556
Maraylya	40560
Marayong	30992
March	40924
Marchmont	55900
Mardi	35464
Marengo (NSW)	18200
Mares Run	
Marinna	35360
Marks Point	29588
Markwell	29900
Marlee	25168
Marlo Merrican	23816
Marlow	19708
Marlowe	
Marmong Point	34632
Marom Creek	31408
Maroota	35776
Maroubra	40248
Marrangaroo	35152
Marrar	36140
Marrickville	41236
Marsden Park	32500
Marsfield	32448
Marshall Mount	34684
Marshdale	23400
Marthaguy	46800
Martindale	29380
Martins Creek	33592
Martinsville	36296
Marulan	29224
Maryland (Newcastle - NSW)	32656
Maryland (Tenterfield - NSW)	32448
Marys Mount	46800
Maryvale (NSW)	32084
Maryville	41184
Mascot	41912
Matcham	44928
Matheson	36712
Mathoura	25272
Matong	34788
Matraville	36452
Maude (NSW)	35568
Maules Creek	27716
Maxwell	35464
Maybole	28600
Mayers Flat	29900
Mayfield (Newcastle - NSW)	32344
Mayfield (Oberon - NSW)	46800
Mayfield (Queanbeyan-Palerang Regional - NSW)	37700
Mayfield (Shoalhaven - NSW)	48048
Mayfield East	35412
Mayfield North	
