SSC_NAME16	medianTotalHouseholdIncome
Edgeroi	84500
Edgeworth	60684
Edith (NSW)	82316
Edmondson Park	118300
Edrom	
Eenaweena	
Eglinton (NSW)	81380
Eighteen Mile	
Elands	24336
Elanora Heights	127972
Elcombe	60632
Elderslie (Camden - NSW)	104676
Elderslie (Singleton - NSW)	92248
Eleebana	102388
Elermore Vale	68900
Elizabeth Bay	103428
Elizabeth Beach	59124
Elizabeth Hills	104156
Ellalong	71240
Elland	67600
Ellangowan (NSW)	52936
Ellenborough	55224
Ellerslie (Snowy Valleys - NSW)	97500
Ellerslie (Wentworth - NSW)	44148
Ellerston	80132
Ellis Lane	122512
Elong Elong	40092
Elrington	121316
Elsmore	24648
Eltham (NSW)	79872
Elvina Bay	81224
Emerald Beach	73320
Emerald Hill	93184
Emerton	55744
Emmaville	39936
Empire Bay	75348
Empire Vale	63648
Emu Heights (NSW)	108160
Emu Plains	87620
Emu Swamp	105872
Endrick	
Enfield (NSW)	82940
Engadine	102024
Englorie Park	80704
Enmore (Armidale Regional - NSW)	74724
Enmore (Inner West - NSW)	105144
Enngonia	53612
Environa	
Epping (NSW)	102596
Eraring	68224
Eremerang	58500
Erigolia	71500
Erin Vale	110500
Erina	48932
Erina Heights	102648
Ermington	84240
Erowal Bay	56836
Errowanbang	97500
Erskine Park	109408
Erskineville	129064
Erudgere	95836
Eschol Park	85748
Esk (NSW)	
Essington	80132
Estella	84240
Ettalong Beach	45084
Ettamogah	90948
Ettrema	
Ettrick (NSW)	38168
Euabalong	47788
Euabalong West	44200
Euberta	107224
Euchareena	63856
Eucumbene	53248
Eugowra	56940
Eulah Creek	61724
Eumungerie	43472
Eunanoreenya	95836
Eungai Creek	47060
Eungai Rail	40976
Eungella (NSW)	53248
Eureka (NSW)	71136
Eurimbla	67184
Eurobodalla	55224
Euroka	78624
Euroley	81224
Eurongilly	92248
Eurunderee	92248
Euston	69784
Evans Head	46800
Evans Plains	104988
Eveleigh	63492
Eviron	73632
Ewingar	25168
Ewingsdale	82784
Exeter (NSW)	70824
Failford	41028
Fairfield (NSW)	50700
Fairfield East	54964
Fairfield Heights	58032
Fairfield West	65884
Fairholme	77948
Fairlight	136240
Fairy Hill	58136
Fairy Meadow	58396
Falbrook	71500
Falconer	94224
Falls Creek (NSW)	76856
Far Meadow	84500
Fargunyah	71500
Farley	98540
Farmborough Heights	94432
Farnham	58500
Farrants Hill	66300
Farringdon	33748
Fassifern (NSW)	64376
Faulconbridge	92612
Faulkland	54132
Fawcetts Plain	80184
Federal (NSW)	61568
Fennell Bay	62608
Fern Bay	54548
Fern Gully	95316
Fernances	46748
Fernances Crossing	103948
Fernbank Creek	68692
Fernbrook	55224
Fernhill	45240
Fernleigh	72384
Fernmount	67756
Fernside	68224
Fernvale (NSW)	58500
Ferodale	84500
Fiddletown	97500
Fifield	58500
Figtree	82212
Findon Creek	29900
Fine Flower	61724
Fingal Bay	47216
Fingal Head	62816
Finley	51376
Firefly	54704
Fishermans Bay	71500
Fishermans Paradise	40196
Fishermans Reach	34580
Fishers Hill	62816
Fishing Point	70460
Fitzgeralds Mount	82316
Fitzgeralds Valley	
Fitzroy Falls	86632
Five Dock	108004
Five Ways	37648
Flat Tops	77948
Fletcher (NSW)	119392
Flinders (NSW)	92716
Floraville	96096
Forbes (NSW)	53716
Forbes Creek	108316
Forbes River	71500
Forbesdale	66300
Fords Bridge	37700
Fordwich	56316
Forest Glen (NSW)	90948
Forest Grove (NSW)	95316
Forest Hill (NSW)	73840
Forest Land	
Forest Lodge	111436
Forest Reefs	104676
Forestville (NSW)	111852
Forresters Beach	79040
Forster (NSW)	45136
Fortis Creek	35100
Fosters Valley	74724
Fosterton	61724
Fountaindale	119236
Four Corners	
Four Mile Creek (NSW)	
Fowlers Gap	117000
Foxground	75816
Frazer Park	
Frazers Creek	67184
Frederickton	52156
Freeburn Island	
Freemans	
Freemans Reach	98020
Freemans Waterhole	32968
Freemantle	84448
French Park	94224
Frenchs Forest	130728
Freshwater (NSW)	117936
Frog Rock	56836
Frogmore	48828
Frogs Hollow	58500
Frying Pan	
Fullerton	48828
Fullerton Cove	56264
Furracabad	84500
Gadara	68224
Gala Vale	
Galambine	111800
Galong	42328
Galore	55224
Galston	93496
Ganbenang	81224
Gangat	50024
Ganmain	48620
Garah	63492
Garden Suburb	96512
Garema	73112
Garland	84500
Garland Valley	
Garoo	87724
Garra	61724
Garthowen	92612
Gateshead	48152
Gearys Flat	
Geehi	
Gelston Park	112632
Gemalla	84500
Geneva	51376
Georges Creek (NSW)	84448
Georges Hall	76128
Georges Plains	84500
Georgetown (NSW)	71812
Georgica	53508
Gerogery	78520
Gerringong	77792
Gerroa	75296
Geurie	63336
Ghinni Ghi	46800
Ghinni Ghinni	58500
Ghoolendaadi	49348
Giants Creek	87724
Gibberagee	23400
Gibraltar Range	
Gidginbung	76336
Gidley	84500
Gilead	40664
Gilgai	49088
Gilgandra	47528
Gilgooma	61724
Gilgunnia	
Gillenbah	71500
Gilletts Ridge	84500
Gillieston Heights	89024
Gilmandyke	61724
Gilmore (NSW)	96200
Gin Gin (NSW)	97500
Gineroi	50232
Ginghi	53248
Gingkin	68224
Girards Hill	52104
Girilambone	74724
Giro	
Girral	84448
Girralong	37700
Girraween (NSW)	92508
Girvan	55900
Gladesville	99944
Gladstone (NSW)	46384
Glanmire (NSW)	73892
Glebe (NSW)	82108
Gledswood Hills	46800
Glen Alice	58500
Glen Allen	84500
Glen Alpine	126880
Glen Davis	34528
Glen Elgin	61724
Glen Fergus	
Glen Innes	43316
Glen Martin	75816
Glen Nevis	
Glen Oak	88088
Glen Ward	28548
Glen William	81224
Glenbawn	101816
Glenbrook	108888
Glencoe (NSW)	54444
Glendale (NSW)	62608
Glendenning	99112
Glendon	108888
Glendon Brook	84500
Glenelg (NSW)	108316
Glenellen	101816
Glenfield (NSW)	91364
Glenfield Park	72540
Glengarrie	26624
Glenhaven	117468
Gleniffer	58500
Glenmore (NSW)	63336
Glenmore Park	115076
Glennies Creek	67132
Glenning Valley	98176
Glenorie	103532
Glenquarry	84500
Glenreagh	51740
Glenridding	49140
Glenrock (NSW)	
Glenroy (Albury - NSW)	73840
Glenroy (Snowy Valleys - NSW)	95836
Glenthorne	46800
Glenugie	53040
Glenwood (NSW)	128752
Glenworth Valley	
Glossodia	99320
Gloucester	44096
Gloucester Tops	
Goat Island	
Gobarralong	119548
Gobbagombalin	111176
Gocup	93184
Godfreys Creek	58500
Gogeldrie	94224
Gol Gol	79404
Gollan	70200
Golspie	55224
Gongolgon	27924
Gonn	80184
Goobarragandra	70200
Good Forest	69316
Good Hope	80132
Goodnight	60112
Goodooga	39416
Goodwood Island	30628
Googong	146276
Goolgowi	62244
Goolhi	97500
Goolma	61724
Goolmangar	63180
Gooloogong	46800
Goombargana	84500
Goonellabah	56992
Goonengerry	43992
Goonoo Forest	
Goonoo Goonoo	112632
Goonumbla	79612
Goorangoola	93184
Goorianawa	68224
Gordon (NSW)	120276
Gorge Creek	
Gormans Hill	45812
Gorokan	51428
Gosford	62556
Gosforth	97448
Gostwyck	117000
Goulburn	60060
Gouldsville	
Gowan	58448
Gowang	53612
Gowrie (Singleton - NSW)	128648
Gowrie (Tamworth Regional - NSW)	97500
Grabben Gullen	49712
Gradys Creek	37648
Grafton	49712
Gragin	
Grahamstown	58500
Graman	46800
Grants Beach	
Granville (NSW)	69264
Grasmere	72852
Grassy Head	46800
Grattai	57044
Gravesend	54756
Grays Point	132964
Great Mackerel Beach	37700
Great Marlow	61724
Green Cape	
Green Creek	33748
Green Forest	
Green Gully (NSW)	67184
Green Hills (Armidale Regional - NSW)	54184
Green Hills (Snowy Valleys - NSW)	
Green Pigeon	37128
Green Point (Central Coast - NSW)	68848
Green Point (Gosford - NSW)	25116
Green Point (Mid-Coast - NSW)	49920
Green Valley (NSW)	81744
Greenacre	61568
Greendale (Bega Valley - NSW)	60112
Greendale (Liverpool - NSW)	86632
Greenethorpe	49712
Greenfield Park	77428
Greengrove	181948
Greenhill (NSW)	45708
Greenhills Beach	194012
Greenlands (Singleton - NSW)	69316
Greenlands (Snowy Monaro Regional - NSW)	46800
Greenleigh	147836
Greenridge	61724
Greenwell Point	45552
Greenwich	132860
Greenwich Park	46748
Greg Greg	84448
Gregadoo	93132
Gregory Hills	121836
Greigs Flat	63492
Grenfell	43732
Gresford	61984
Greta (NSW)	73424
Greta Main	107224
Grevillia	35100
Greystanes	83616
Griffith (NSW)	66924
Grogan	110500
Grong Grong	63336
Grose Vale	110656
Grose Wold	116428
Grosses Plain	110448
Growee	55224
Guerilla Bay	71500
Guildford (NSW)	58240
Guildford West	72176
Gulargambone	40976
Gulf Creek	24024
Gulgong	56472
Gulmarrad	59020
Gum Flat	60112
Gum Scrub	71500
Gumbalie	
Gumble	97500
Gumly Gumly	71500
Gumma	46800
Gunbar	55224
Gundagai	53144
Gundamulda	58448
Gundaroo	129636
Gundary	75660
Gunderbooka	46800
Gunderman	62088
Gundy	72748
Gungal	50232
Gungalman	
Gunnedah	66040
Gunning	77636
Gunning Gap	74724
Gunningbland	55224
Gunningrah	
Gurley	66300
Gurnang	
Gurranang	38636
Gurrundah	58500
Guyong	95836
Guyra	49296
Gwabegar	38428
Gwandalan	65416
Gwynneville	51896
Gymea	91676
Gymea Bay	131196
Haberfield	112528
Hacks Ferry	117000
Halekulani	44304
Halfway Creek	46124
Hallidays Point	62920
Halloran	81224
Halls Creek (NSW)	56836
Hallsville	78988
Halton	
Hambledon Hill	162448
Hamilton (NSW)	70720
Hamilton East	93184
Hamilton North	75504
Hamilton South	53456
Hamilton Valley	76544
Hamlyn Terrace	80756
Hammondville	82160
Hampden Hall	62816
Hampton (NSW)	60632
Hanging Rock	34216
Hanleys Creek	
Hannam Vale	56524
Hanwood	75972
Harden	43108
Hardys Bay	66092
Harefield	94224
Hargraves	35048
Harolds Cross	84448
Harparary	97448
Harpers Hill	55224
Harrington	40768
Harrington Park	125632
Harris Park	78468
Hartley (NSW)	85644
Hartley Vale	97500
Hartwood	46800
Hartys Plains	129948
Harwood	42900
Hassall Grove	89336
Hassans Walls	
Hastings Point	37596
Hat Head	41184
Hatfield	
Havilah (NSW)	84500
Hawkesbury Heights	118040
Hawks Nest	45448
Hay (NSW)	53924
Hay South	63752
Hayes Gap	94224
Haymarket	78260
Haystack	51948
Hayters Hill	110448
Haywards Bay	107120
Hazelbrook	77792
Hazelgrove	74724
Heathcote (NSW)	96928
Heatherbrae	43732
Hebden	123448
Hebersham	64324
Heckenberg	50336
Heddon Greta	92560
Heifer Station	90948
Helensburgh	109772
Henley	157820
Henty (NSW)	42120
Hereford Hall	71448
Hermidale	71500
Hermitage Flat	41132
Hernani	75348
Herons Creek	61724
Hexham (NSW)	47632
Hickeys Creek	46800
High Range	107224
Higher Macdonald	
Highfields (NSW)	91312
Hill End (NSW)	30524
Hill Top (Snowy Monaro Regional - NSW)	94224
Hill Top (Wingecarribee - NSW)	80652
Hilldale	63856
Hillgrove (Armidale Regional - NSW)	51324
Hillgrove (Wagga Wagga - NSW)	71500
Hillsborough (Lake Macquarie - NSW)	80184
Hillsborough (Maitland - NSW)	37700
Hillsdale	69524
Hillston	64168
Hillville	62816
Hillvue	76492
Hinchinbrook (NSW)	93080
Hinton	81224
Hobartville (NSW)	73372
Hobbys Yards	71500
Hogarth Range	53612
Holbrook	51532
Holgate	135304
Hollisdale	45032
Hollydeen	107224
Holmesville	71032
Holroyd	96720
Holsworthy	112944
Holts Flat	
Home Rule	73632
Homebush (NSW)	94120
Homebush West	85020
Homeleigh	48828
Honeybugle	
Hopefield	84500
Hopkins Creek	63336
Horningsea Park	108368
Hornsby	88192
Hornsby Heights	118196
Horse Station Creek	50648
Horseshoe Bend	53404
Horseshoe Creek	67600
Horsfield Bay	100724
Horsley	94952
Horsley Park	89440
Hoskinstown	121316
Hovells Creek	56316
Howards Grass	60112
Howell	37700
Howes Valley	45032
Howick (NSW)	
Howlong	53248
Hoxton Park	89700
Humula	50648
Hungerford (NSW)	
Hunters Hill	140400
Hunterview	109876
Huntingdon	112632
Huntingwood	
Huntley (Orange - NSW)	101816
Huntley (Wollongong - NSW)	107224
Huntleys Cove	107692
Huntleys Point	169000
Huonbrook	37700
Hurlstone Park	92560
Hurstville	71864
Hurstville Grove	108888
Huskisson	44928
Hyams Beach	60112
Hyland Park	55692
Hyndmans Creek	54184
Ilarwill	49348
Ilford	48048
Illabo	54600
Illaroo	108316
Illawong	128232
Iluka (NSW)	37596
Indi	84448
Ingebirah	75816
Ingleburn	72852
Ingleside	112840
Innes View	37648
Inverell	50492
Invergordon (NSW)	37700
Invergowrie	79872
Iron Pot Creek	84500
Ironbark (NSW)	30836
Ironmungy	
Irvington	58500
Irymple (NSW)	31824
Isabella	46800
Islington	70408
Ivanhoe (NSW)	67860
Jackadgery	56316
Jacks Creek	58500
Jacksons Flat	46800
Jacky Bulbin Flat	27924
Jagumba	
Jagungal Wilderness	
Jamberoo	88556
James Creek	71500
Jamisontown	72020
Jannali	92768
Jaspers Brush	79612
Jaunter	
Jeir	154076
Jellat Jellat	69316
Jemalong	68224
Jembaicumbene	84500
Jennings	36920
Jenolan	
Jeogla	46800
Jerangle	92040
Jeremadra	53456
Jeremy	
Jerilderie	57720
Jerrabattgulla	58448
Jerrabomberra	146640
Jerrara	122148
Jerrawa	68224
Jerrawangala	74724
Jerrong	24648
Jerrys Plains	79300
Jerseyville	48048
Jesmond	44200
Jewells	77584
Jews Lagoon	
Jiggi	59852
Jilliby	112372
Jimenbuen	71500
Jincumbilly	
Jindabyne	75400
Jinden	58500
Jindera	77584
Jingellic	46800
Jingera	87724
Joadja	109200
Joes Box	37700
Johns River	48984
Jolly Nose	
Jones Bridge	
Jones Creek	71448
Jones Island	41080
Jordan Springs	116012
Judds Creek	
Jugiong	65936
Junction Hill	60684
Junee	56056
Junee Reefs	97448
Kahibah	74620
Kains Flat	48984
Kalang	49868
Kalaru	65364
Kalkite	76648
Kamarah	63336
Kameruka	68900
Kanahooka	63024
Kanangra	
Kandos	36296
Kangaloon	111800
Kangaroo Creek	36400
Kangaroo Point (NSW)	177944
Kangaroo Valley	65260
Kangaroobie	134316
Kangiara	100724
Kangy Angy	56836
Kanimbla (NSW)	75816
Kanoona	86632
Kanwal	57044
Kapooka	112996
Kaputar	
Karaak Flat	55224
Karabar	87984
Karangi	71500
Kareela	118196
Kariong	94276
Kars Springs	46800
Karuah	41340
Katoomba	50752
Kayuga	82836
Kearns	106028
Kearsley	65520
Keepit	46800
Keera	61724
Keerrong	60632
Keinbah	97500
Keiraville	67392
Keith Hall	63336
Kellys Plains	84448
Kellyville	133328
Kellyville Ridge	133068
Kelso (NSW)	75140
Kelvin	75348
Kembla Grange	98540
Kembla Heights	62816
Kemps Creek	83876
Kempsey	37024
Kendall	55172
Kenebri	61724
Kennaicle Creek	
Kensington (NSW)	85592
Kenthurst	135408
Kentlyn	106600
Kentucky	61724
Kentucky South	40976
Kerewong	59748
Keri Keri	
Kerrabee	85748
Kerrigundi	77948
Kerrs Creek	53612
Kew (NSW)	53300
Keybarbin	
Khancoban	47528
Khatambuhl	
Kia Ora (NSW)	84448
Kiacatoo	58500
Kiah	38948
Kiama	67912
Kiama Downs	95472
Kiama Heights	82212
Kianga (NSW)	45396
Kiar	84448
Kickabil	110500
Kielvale	68900
Kikiamah	58500
Kikoira	57200
Kilaben Bay	93496
Kilgin	46748
Kilgra	38428
Killabakh	57408
Killara (NSW)	131768
Killarney Heights	134680
Killarney Vale	63544
Killawarra (NSW)	55224
Killcare	68432
Killcare Heights	82784
Killiekrankie	
Killimicat	97500
Killingworth (NSW)	91364
Killongbutta	116948
Kimbriki	55692
Kinchela	54860
Kincumber	56264
Kincumber South	33540
Kindee	71500
Kindervale	
King Creek	82264
Kingfisher Shores	66300
Kinghorne	
Kings Forest	80184
Kings Langley	109928
Kings Park (NSW)	99008
Kings Plains (Blayney - NSW)	92612
Kings Plains (Inverell - NSW)	
Kings Point	55952
Kingscliff	63960
Kingsdale	100724
Kingsford (NSW)	71448
Kingsgate	
Kingsgrove	81328
Kingsland	74724
Kingstown	58500
Kingsvale	59072
Kingswood (Bega Valley - NSW)	
Kingswood (Penrith - NSW)	63908
Kingswood (Tamworth Regional - NSW)	93652
Kioloa	39884
Kiora	54184
Kippara	
Kippaxs	68224
Kippenduff	35100
Kirkconnell	84500
Kirkham	152984
Kirrawee	88868
Kirribilli	116116
Kitchener	60112
Kiwarrak	
Klori	90948
Knights Hill	61724
Knockrow	63336
Knorrit Flat	37700
Knorrit Forest	
Kogarah	84552
Kogarah Bay	106652
Kooba	58448
Kookabookra	
Koolewong	78208
Koolkhan	53248
Koonawarra	53976
Koonorigan	55588
Koonyum Range	
Kooragang	
Koorainghat	53092
Koorawatha	40612
Kooringal (NSW)	62192
Kootingal	64324
Koraleigh	44564
Koreelah	39208
Korora	74672
Kosciuszko	
Kosciuszko National Park	73320
Kotara	85176
Kotara South	73892
Krambach	42692
Krawarree	37648
Kremnos	45292
Ku-Ring-Gai Chase	
Kulnura	80288
Kulwin (NSW)	
Kunama	39624
Kundabung	71032
Kundibakh	35048
Kundle Kundle	66040
Kungala	59540
Kunghur	48048
Kunghur Creek	69316
Kurmond	89596
Kurnell	98696
Kurraba Point	148512
Kurrajong	104260
Kurrajong Heights	106184
Kurrajong Hills	118404
Kurri Kurri	51532
Kyalite	53300
Kyarran	84448
Kybeyan	54184
Kyeamba	50648
Kyeemagh	72540
Kyle Bay	130572
Kynnumboon	47788
Kyogle	42328
La Perouse	79612
Lacmalac	84500
Lade Vale	102648
Ladysmith	71500
Laffing Waters	101816
Laggan	78468
Lagoon Grass	71500
Laguna	60112
Lake Albert (NSW)	80756
Lake Bathurst	85748
Lake Brewster	90948
Lake Burrendong	
Lake Cargelligo	54496
Lake Cathie	53768
Lake Conjola	41028
Lake Cowal	84448
Lake George	136500
Lake Haven	45032
Lake Heights	56784
Lake Hume Village	46800
Lake Illawarra	46696
Lake Innes	96044
Lake Macquarie	
Lake Munmorah	52208
Lake Tabourie	44304
Lake Wyangan	87932
Lakelands (NSW)	100828
Lakemba	52624
Lakesland	110500
Lakewood	42848
Lalalty	81224
Lalor Park	65052
Lambs Valley (Glen Innes Severn - NSW)	67600
Lambs Valley (Singleton - NSW)	108316
Lambton	69732
Landervale	143000
Lane Cove	113984
Lane Cove North	112372
Lane Cove West	133484
Langley Vale	35100
Lanitza	53092
Lankeys Creek	61724
Lansdowne (Canterbury-Bankstown - NSW)	97448
Lansdowne (Mid-Coast - NSW)	41028
Lansdowne Forest	
Lansvale	69160
Lapstone	109980
Larbert	39624
Largs	89804
Larnook	38844
Larras Lee	64948
Laughtondale	73112
Laurel Hill	56524
Laurieton	37232
Lavadia	35048
Lavender Bay	118404
Laverstock	84500
Lavington	48516
Lawrence (NSW)	44512
Lawson (NSW)	68328
Leadville	44200
Leconfield	92300
Lee Creek	
Leeton	62764
Leets Vale	58500
Leeville	66456
Legume	34372
Leichhardt (NSW)	117312
Lemington	
Lemon Tree	108316
Lemon Tree Passage	51116
Len Waters Estate	
Lenaghan	143000
Lennox Head	82004
Leonay	111956
Leppington	84968
Lerida	110500
Lethbridge Park	49868
Leumeah	67496
Leura	60528
Levenstrath	46748
Lewinsbrook	46800
Lewis Ponds	92612
Lewisham (NSW)	102648
Leycester	61724
Liberty Grove	114764
Lidcombe	81692
Liddell	
Lidsdale	77324
Lidster	125944
Lightning Ridge	35412
Lilli Pilli (Eurobodalla - NSW)	65520
Lilli Pilli (Sutherland Shire - NSW)	171444
Lillian Rock	36712
Lilydale (NSW)	61724
Lilyfield	120120
Lilyvale (NSW)	
Limbri	50232
Limeburners Creek (Mid-Coast - NSW)	66508
Limeburners Creek (Port Macquarie-Hastings - NSW)	71500
Limekilns	79612
Limerick	68224
Limestone (NSW)	
Limpinwood	50024
Linburn	55224
Linden (NSW)	106340
Lindendale	92872
Lindesay	35724
Lindesay Creek	58448
Lindfield	130676
Lindifferon	68224
Linley Point	191984
Lionsville	
Lisarow	90584
Lismore (NSW)	43576
Lismore Heights	58968
Liston	40924
Lithgow	43368
Little Back Creek	81224
Little Bay	106132
Little Billabong	82316
Little Forest	56316
Little Hartley	72176
Little Jacks Creek	71500
Little Jilliby	58500
Little Pelican	
Little Plain	60112
Little River (NSW)	100724
Little Topar	49348
Little Wobby	71500
Littleton	56472
Liverpool	56628
Llanarth (NSW)	111852
Llandilo	98176
Llangothlin	60632
Lloyd	104260
Loadstone	44148
Lochiel (NSW)	66612
Lochinvar	93444
Lockhart	49920
Locksley (NSW)	81224
Loftus	108316
Loftville	25272
Logans Crossing	61724
Logie Brae	117000
Londonderry (NSW)	96824
Long Beach	63960
Long Flat (NSW)	44148
Long Jetty	50544
Long Plain (Inverell - NSW)	63336
Long Plain (Snowy Monaro Regional - NSW)	
Long Point (Campbelltown - NSW)	86892
Long Point (Singleton - NSW)	116948
Longarm	55224
Longreach (NSW)	133224
Longueville	210600
Loomberah	86632
Lord Howe Island	72644
Lords Hill	55224
Lorn	79404
Lorne (NSW)	56836
Lost River	77948
Lostock	42900
Louisa Creek	
Louth	94224
Louth Park	140088
Lovedale	92300
Lovett Bay	117000
Lowanna	36608
Lower Acacia Creek	46800
Lower Bago	
Lower Belford	108524
Lower Boro	55224
Lower Bottle Creek	37700
Lower Creek	19032
Lower Duck Creek	136448
Lower Dyraaba	29900
Lower Lewis Ponds	77948
Lower Macdonald	61724
Lower Mangrove	73632
Lower Pappinbarra	66300
Lower Peacock	
Lower Portland	81588
Lower Southgate	69316
Lowesdale	73632
Lowther	62816
Loxford	50232
Lucas Heights	
Lucknow (NSW)	79300
Luddenham	116168
Lue	42900
Lugarno	112736
Lurnea	55536
Luskintyre	100724
Lynchs Creek	48828
Lyndhurst (Armidale Regional - NSW)	55224
Lyndhurst (Blayney - NSW)	56524
Lynwood (NSW)	74724
Mabins Well	84448
Macdonalds Creek	73632
Macksville	46072
Maclean	42848
Macmasters Beach	91260
Macquarie Fields	62972
Macquarie Hills	100360
Macquarie Links	137020
Macquarie Marshes	
Macquarie Park	84812
Macquarie Pass	
Maddens Plains	
Maffra (NSW)	46800
Magenta (NSW)	102336
Magometon	97500
Maianbar	106860
Maimuru	67756
Main Arm	52312
Main Creek	49868
Mairjimmy	97448
Maison Dieu	108732
Maitland (NSW)	54080
Maitland Bar	46800
Maitland Vale	127348
Majors Creek (NSW)	53300
Malabar	76492
Maldon (NSW)	97500
Mallabula	50336
Mallan	87724
Mallanganee	38636
Mallee	
Mallowa	120224
Maloneys Beach	52936
Malua Bay	59124
Manar	116948
Manchester Square	110500
Mandagery	81224
Mandalong	92092
Mandemar	84500
Mandurama	49348
Mangerton	86892
Mangoola	39624
Mangoplah	68692
Mangrove Creek	58500
Mangrove Mountain	76492
Manildra	65728
Manilla	43524
Manly (NSW)	127348
Manly Vale	101868
Mannering Park	61724
Manning Point	35672
Mannus	72748
Manobalai	58500
Manton (NSW)	105612
Manyana	49244
Maragle	71500
Maraylya	110916
Marayong	73216
March	92300
Marchmont	132860
Mardi	85124
Marengo (NSW)	29848
Mares Run	
Marinna	68224
Marks Point	49660
Markwell	59384
Marlee	67600
Marlo Merrican	61724
Marlow	24232
Marlowe	
Marmong Point	81900
Marom Creek	75816
Maroota	91572
Maroubra	89544
Marrangaroo	96772
Marrar	76752
Marrickville	94328
Marsden Park	60372
Marsfield	85332
Marshall Mount	94224
Marshdale	58500
Marthaguy	108316
Martindale	63648
Martins Creek	75192
Martinsville	88504
Marulan	59436
Maryland (Newcastle - NSW)	78052
Maryland (Tenterfield - NSW)	56316
Marys Mount	93548
Maryvale (NSW)	76336
Maryville	78156
Mascot	101660
Matcham	140400
Matheson	58500
Mathoura	43680
Matong	67132
Matraville	89076
Maude (NSW)	68224
Maules Creek	62348
Maxwell	82316
Maybole	81224
Mayers Flat	55224
Mayfield (Newcastle - NSW)	61256
Mayfield (Oberon - NSW)	
Mayfield (Queanbeyan-Palerang Regional - NSW)	103948
Mayfield (Shoalhaven - NSW)	149448
Mayfield East	68588
Mayfield North	
Mayfield West	68120
Mayrung	63648
Mays Hill	85228
Mayvale	71500
McCullys Gap	91624
McDougalls Hill	79612
McGraths Hill	100100
